Level,Name
2,UTHM
1,UUM
1,UTM
PPKI,PPI DELTA
1,ALUMNI
5,5 UTHM
1,1 USM
5,5 UPM
4,USM
3,UKM
PPKI,PPI ZETA
4,4 USM
3,3 UTM
2,2 UTM
4,UM
2,UUM
2,UTM
5,UITM
PPKI,PPI ALPHA
5,USIM
3,3 UTHM
3,3 UPM
3,UTHM
5,5 UM
3,3 UUM
1,USIM
2,2 UPM
5,5 USM
KHAS,MENENGAH PPI ALPHA
5,5 USIM
4,4 UPM
PERALIHAN,PERALIHAN
1,1 UUM
1,1 UM
4,4 UUM
3,UUM
3,UTM
2,USIM
4,UPM
4,4 UTHM
4,4 UTM
4,UTHM
5,USM
2,2 USIM
4,4 UiTM
5,UM
5,5 UUM
1,USM
1,1 UTM
4,UKM
PPKI,PPI EPSILON
5,5 UKM
1,UM
1,UPM
5,KFC-SLDN
5,5 UTM
KHAS,MENENGAH PPI DELTA
2,2 UUM
KHAS,MENENGAH PPI EPSILON
3,3 USM
5,5 UITM
2,2 UKM
2,USM
3,3 UiTM
3,USIM
1,1 USIM
4,4 KFC-SLDN
4,4 UM
3,UM
4,4 UMS
2,UM
1,UKM
5,5 KFC-SLDN
5,5 UiTM
2,2 USM
5,UPM
3,3 UKM
2,2 UTHM
5,UTHM
4,UITM
4,4 UKM
4,4 UITM
3,3 USIM
PPKI,PPI BETA
2,UKM
4,UUM
1,1 UTHM
4,UTM
4,USIM
1,UTHM
1,1 UKM
2,2 UM
1,1 UPM
3,USM
5,UKM
4,4 USIM
5,UUM
5,UTM
3,3 UM
KHAS,MENENGAH PPI BETA
3,UPM
2,UPM
