Level,Name
1,1.5
5,5 DAISY
1,ALUMNI
4,4.7
5,HAZEL
4,4.6
4,4.4
4,IRIS
4,DAISY
4,TULIP
1,HAZEL
4,4 LILY
1,1 AZALEA
1,1.4
3,3 DAISY
3,3 AZALEA
3,3 IRIS
5,IRIS
3,3.4
2,2.3
2,2 IRIS
5,DAISY
5,5 TULIP
4,4.5
2,2 LILY
3,3.6
5,5.2
5,AZALEA
1,IRIS
2,HAZEL
1,DAISY
3,3.2
4,LILY
1,AZALEA
4,4 IRIS
5,5 IRIS
4,4 AZALEA
5,5.7
4,4 DAISY
2,2 TULIP
1,1.1
2,2 DAISY
1,1 LILY
4,4 TULIP
2,IRIS
5,5 AZALEA
PERALIHAN,PERALIHAN
2,DAISY
1,1.3
2,TULIP
2,2 HAZEL
5,5.3
2,AZALEA
2,2.4
1,1 HAZEL
5,5.5
1,PERALIHAN
5,TULIP
1,LILY
5,5.6
1,1.2
3,HAZEL
2,2.1
4,4.3
4,4 HAZEL
5,5.4
3,3 HAZEL
5,5 ERICA
2,2 AZALEA
2,2.5
2,LILY
2,2.2
5,ERICA
3,IRIS
3,DAISY
5,LILY
5,5 HAZEL
1,ERICA
3,AZALEA
3,3.3
5,5 LILY
1,1 IRIS
3,3.5
1,1 ERICA
3,2.5
1,1.6
4,AZALEA
5,5.1
1,1 DAISY
4,4.1
4,HAZEL
4,4.2
3,3.1
