Level,Name
6,KESIDANG
PPKI,FOKUS
PPKI,KHAS ELIT
PPKI,KHAS CERIA
KHAS,RENDAH PENDIDIKAN KHAS CERIA
3,CEMPAKA
PPKI,KHAS BAHAGIA
1,MELUR
6,CEMPAKA
3,MAWAR
3,DAHLIA
2,MELUR
6,DAHLIA
6,MAWAR
1,MELATI
4,MELUR
PPKI,DAMAI
1,KENANGA
2,MELATI
1,SEROJA
2,KENANGA
2,SEROJA
4,MELATI
5,MELUR
PPKI,AMAN
PRASEKOLAH,PRASEKOLAH UPIN
1,CEMPAKA
4,KENANGA
4,SEROJA
2,CEMPAKA
5,MELATI
4,KESIDANG
1,MAWAR
1,DAHLIA
5,KENANGA
1,ALUMNI
PPKI,KHAS DAMAI
3,MELUR
PPKI,CERIA
2,MAWAR
2,DAHLIA
4,CEMPAKA
PPKI,ELIT
6,MELUR
PPKI,KHAS FOKUS
PPKI,BAHAGIA
PRASEKOLAH,PRASEKOLAH IPIN
5,KESIDANG
4,MAWAR
4,DAHLIA
3,MELATI
KHAS,RENDAH PENDIDIKAN KHAS ELIT
PRASEKOLAH,UPIN
KHAS,RENDAH PENDIDIKAN KHAS AMAN
3,KENANGA
PPKI,PENDIDIKAN KHAS AMAN
6,MELATI
PRASEKOLAH,IPIN
5,CEMPAKA
6,KENANGA
3,SEROJA
5,MAWAR
5,DAHLIA
6,SEROJA
KHAS,RENDAH PENDIDIKAN KHAS BAHAGIA
