Level,Name
5,SASTERA5
4,4 TEKNIK 1
5,5 TEKNIK 2
2,WALIT
4,STEM1
2,BELATUK
5,STEM 2
3,TEMPUA
1,CAMAR
5,SASTERA 3
5,5 SASTERA 2
5,SASTERA2
4,4 STEM 1
4,TEKNIK 2
3,WALIT
4,4 SASTERA 1
1,NURI
4,4 SASTERA 2
2,SERINDIT
5,5 STEM 2
4,TEKNIK 3
5,TEKNIK 1
5,TEKNIK1
5,5 TEKNIK 3
5,STEM1
5,STEM2
3,SERINDIT
4,SASTERA 2
1,CENDERAWASIH
4,STEM 1
5,SASTERA1
5,SASTERA 4
3,MERPATI
2,ENGGANG
5,5 STEM 1
4,SASTERA3
1,TEMPUA
5,SASTERA 1
4,SASTERA5
5,SASTERA4
4,STEM 2
1,WALIT
3,ENGGANG
4,TEKNIK3
1,BELATUK
5,5 TEKNIK 1
4,TEKNIK2
4,SASTERA 3
4,4 TEKNIK 2
4,4 SASTERA 4
2,CAMAR
4,SASTERA2
4,4 STEM 2
1,SERINDIT
4,TEKNIK 1
5,TEKNIK 2
2,NURI
4,SASTERA 5
3,CENDERAWASIH
3,CAMAR
4,TEKNIK1
5,TEKNIK 3
4,STEM2
5,5 SASTERA 1
4,SASTERA1
5,TEKNIK3
4,SASTERA 4
5,TEKNIK2
3,NURI
5,5 SASTERA 4
2,CENDERAWASIH
5,SASTERA 2
1,ENGGANG
5,STEM 1
4,SASTERA 1
4,4 SASTERA 5
PERALIHAN,NURI
1,ALUMNI
3,BELATUK
4,SASTERA4
2,TEMPUA
5,SASTERA3
4,4 SASTERA 3
5,5 SASTERA 3
4,4 TEKNIK 3
