Level,Name
1,UTM
5,5PSV2
5,5SN2
2,UTP
3,UPM
5,5BCT1
KHAS,MENENGAH LILI
KHAS,MENENGAH SEROJA
5,AAE
KHAS,MENENGAH MAWAR
2,UMK
2,2 UTHM
2,2UPM
1,1UITM
1,1UMK
3,3UUM
3,UNIMAP
4,4PTS1
1,1 USM
3,3UTP
KHAS,MENENGAH MELUR
3,UKM
3,3UKM
1,1USIM
3,3 SEMENTARA
5,5KT
PPKI,MAWAR
PPKI,DAHLIA
3,3UNIMAP
1,USM
5,SNA
3,3UIA
5,5AAP
4,BD
4,4PSV2
1,1UUM
3,3 UITM
2,2UTP
3,3USM
5,5BTS
1,1 UPM
5,5SNA
5,5PTS2
3,UIA
2,UUM
3,USIM
5,PTS1
4,4BS2
KHAS,MENENGAH TULIP
3,3 USM
2,UNIMAP
2,2UTHM
3,3 UNIMAP
1,UMP
4,PSV2
4,4BCT2
4,4AP
5,5GS
KHAS,MENENGAH TANJUNG
2,2 UIA
2,2UMK
1,1UTM
4,4BCT1
4,4SN
5,5BS1
1,UITM
4,4SMT
1,1 UMP
1,1 UIA
4,SN
1,1 UTeM
1,1 UTM
4,BCT1
5,5AP1
PPKI,SEROJA
2,UIA
4,4SNA
5,SMT
2,USIM
3,UUM
3,3 UTM
3,3 USIM
5,PTS2
4,4AAE
4,PSV1
2,UTEM
4,BCT2
4,KT
5,5AP
4,GS
3,3UPM
5,5BCT
3,3 UKM
PPKI,TANJUNG
5,5PTA
5,5BS2
1,UPM
5,5PTS1
5,AP
5,BD
5,5PSV
5,BS1
PERALIHAN,PA
2,2 UNIMAP
1,UKM
1,UNIMAS
PPKI,TULIP
5,5BD
3,3UMP
5,5PS
1,UTHM
2,2UITM
2,2UNIMAS
2,2 UNIMAS
5,5PTS
4,4AP1
3,UTEM
2,2 UUM
5,PSV
PPKI,MELUR
2,2USIM
2,2UTEM
2,2UIA
3,3UITM
4,AAE
5,BS2
3,USM
1,UTP
2,2UTM
2,UTM
3,3 UTEM
3,3 UniMAP
4,4KT
2,2 UITM
1,1UPM
4,4BD
1,1 UITM
1,UMK
1,1UIA
5,SN
1,1 USIM
3,3UTHM
1,1UKM
2,2 UTEM
1,1UTP
4,SNA
4,4BTS
5,5SN1
4,4SN1
1,1 UTEM
1,1 UTHM
1,1 UUM
2,2 UTP
5,KT
1,1UNIMAP
2,2 USIM
4,PTS1
3,3 UIA
2,USM
5,5SMT
3,UTM
PPKI,LILI
1,UUM
2,2 UMP
4,4BCT
1,UNIMAP
2,2UKM
5,5PSV1
2,2 USM
1,1UTHM
3,3 UTHM
3,3USIM
3,3UTM
4,4PSV1
1,PA
2,2 UTM
2,UMP
4,4GS
3,3 UPM
4,SMT
2,2UUM
5,PSV2
2,UITM
5,5SN
1,1UNIMAS
1,UIA
1,USIM
4,PTS2
1,1 UNIMAP
1,1USM
4,4PTS2
4,4BS1
5,BTS
3,3 UNIMAS
1,UTEM
3,UNIMAS
2,2 UPM
1,1 UKM
3,3 UTP
1,1 UTP
3,UTHM
2,2UMP
3,3UTEM
3,3 UUM
4,AP
5,5AAE
3,3 UMP
3,UMP
4,BS1
5,GS
3,UTP
2,UPM
3,UITM
1,ALUMNI
4,4 SEMENTARA
1,1UMP
2,2UNIMAP
PPKI,PK DAHLIA
2,UKM
1,1 UNIMAS
2,UNIMAS
4,BS2
1,1UTEM
2,2USM
2,UTHM
3,3UNIMAS
2,2 UKM
