Level,Name
1,AL FARABI
3,AL FARABI
2,AL BIRUNI
5,AL BIRUNI
KHAS MENENGAH,PK AL FARABI
KHAS,MENENGAH PK AL FARABI
4,AL KHAWARIZMI
4,AL RAZI
PPKI,PK AL FARABI
1,AL HAYYAN
KHAS MENENGAH,PK AL HAYYAN
3,AL HAYYAN
4,AL BIRUNI
2,AL FARABI
KHAS,MENENGAH PK AL BIRUNI
5,AL FARABI
KHAS MENENGAH,PK AL BIRUNI
1,AL KHAWARIZMI
3,AL KHAWARIZMI
KHAS,MENENGAH PK AL HAYYAN
PPKI,PK AL BIRUNI
3,AL RAZI
2,AL HAYYAN
5,AL HAYYAN
4,AL FARABI
1,AL BIRUNI
3,AL BIRUNI
1,ALUMNI
2,AL KHAWARIZMI
CLASS,ALUMNI
5,AL KHAWARIZMI
5,AL RAZI
4,AL HAYYAN
PPKI,PK AL HAYYAN
