Level,Name
PPKI,AR RAZI
0 KELAS,ALUMNI
4,IBNU KHALDUN
1,CERDIK
PEND. KHAS,MUMTAZ
2,CERDIK
1,ALUMNI
4,PINTAR
5,IBNU SINA
KHAS,RENDAH PEND. KHAS MUMTAZ
PPKI,AL GHAZALI
PPKI,PEND. KHAS AL GHAZALI
PPKI,PEND. KHAS AR RAZI
3,IBNU SINA
6,IBNU SINA
PEND. KHAS,JAYYID
1,IBNU KHALDUN
2,PINTAR
2,IBNU KHALDUN
KHAS,RENDAH PEND. KHAS JAYYID
1,PINTAR
PPKI,PEND. KHAS JAYYID
4,IBNU SINA
KHAS,RENDAH PEND. KHAS MAQBUL
PPKI,PEND. KHAS MUMTAZ
PPKI,PEND. KHAS MAQBUL
5,CERDIK
PRASEKOLAH,AL KINDI
3,CERDIK
6,CERDIK
1,IBNU SINA
2,IBNU SINA
PRASEKOLAH,AL HUDA
AKP,SKSM
5,PINTAR
3,IBNU KHALDUN
5,IBNU KHALDUN
6,IBNU KHALDUN
6,PINTAR
PRASEKOLAH,AL JAZARI
3,PINTAR
4,CERDIK
PRASEKOLAH,ABHAR
GURU,SKSM
