Level,Name
3,Epsilon
6 SEM 2,ASAST 1
4,Alpha
3,Theta
6 SEM 2,ASAST 2
1,Epsilon
1,Theta
3,Gamma
2,Sigma
4,Omega
1,Gamma
3,LOKMAN HAKIM
2,ALPHA
3,Sigma
1,LOKMAN HAKIM
2,Lambda
6,RENDAH SN
3,Lambda
2,BETA
5,F
6 SEM 2,ASAINS
1,THETA
5,A
5,CEKAL
4,CEKAL
4,C
5,DEDIKASI
6,ATAS SAS1
4,DEDIKASI
3,LH
6,ATAS SN
2,Theta
1,LH
2,Gamma
3,LAMBDA
2,LOKMAN HAKIM
3,Beta
1,LAMBDA
4,J
5,B
4,B
4,Epsilon
1,Beta
3,EPSILON
6 ATAS,SN
1,EPSILON
2,THETA
3,THETA
4,Sigma
3,Alpha
6 ATAS,SAS2
1,Alpha
2,HARMONI
4,Lambda
2,LH
5,C
5,JUJUR
3,Infinity
4,JUJUR
5,MPV
4,MPV
1,Omega
1,Infinity
6 ATAS,SAS1
5,E
2,LAMBDA
3,SIGMA
PERALIHAN,AMANAH
4,E
5,H
2,Beta
4,H
1,SIGMA
6 SEM 3,SAST 1
5,J
5,AMANAH
4,AMANAH
1,INFINITY
2,EPSILON
4,Theta
6,ATAS SAS2
4,Gamma
5,D
6 SEM 3,SAINS
4,D
2,Alpha
6 SEM 3,SAST 2
3,OMEGA
2,Omega
2,Infinity
1,OMEGA
6,RENDAH SAS2
3,GAMMA
3,Omega
1,GAMMA
2,SIGMA
5,GIGIH
2,INFINITY
4,GIGIH
5,HARMONI
4,HARMONI
4,Infinity
4,LH
5,G
3,INFINITY
4,G
1,ALUMNI
6,RENDAH SAS1
3,ALPHA
1,ALPHA
1,Lambda
PERALIHAN,A
4,Beta
4,F
3,BETA
5,EFISIEN
2,OMEGA
4,EFISIEN
4,A
5,BAKTI
1,BETA
4,BAKTI
5,FALAH
4,FALAH
2,GAMMA
2,Epsilon
