Level,Name
2,AL BIRUNI
4,PTW
5,5SN2
5,5S2
5,TS 2
2,2 AL KHAWARIZMI
5,PTS 2
4,4 S 2
5,AP 1
4,4PTS1
4,4 S 3
5,5AP2
3,3 IBNU KHALDUN
5,SN 1
2,AL FATIH
1,IBNU KHALDUN
3,AL BIRUNI
5,5 TS 1
5,5AAP
1,IBNU HAYYAN
2,2 IBNU RUSYD
3,3 IBNU BATUTAH
5,5 S 1
2,2 IBNU HAYYAN
4,4 SN 2
5,PTS 1
5,5PTS2
5,5S3
5,SN 2
4,S 3
4,4 S 1
5,5 AP 1
1,AL KHAWARIZMI
1,1 AL BUKHARI
4,TS 1
2,AL GHAZALI
3,AL FARABI
2,2 AL BUKHARI
4,4AP
5,5 SN 1
3,3 AL KINDI
2,AL KINDI
1,1 AL FARABI
3,AL FATIH
4,4 AP
3,3 AL KHAWARIZMI
1,Al Farabi
2,2 AL FARABI
4,PTS
5,5AP1
2,IBNU RUSYD
5,5 S 3
1,1 IBNU KHALDUN
5,5 SN 2
1,1 IBNU BATUTAH
2,2 IBNU KHALDUN
5,5AP
4,AAP
3,3 AL GHAZALI
1,AL BUKHARI
3,AL GHAZALI
2,AL FARABI
3,AL KINDI
4,4 PTS
5,S 1
4,S 2
4,4 TS 1
5,5PTS1
4,4PTS
3,3 IBNU SINA
5,5 TS 2
4,4TS2
5,5TS2
5,5PS
4,4AP1
1,IBNU SINA
5,5 S 2
1,1 AL KINDI
1,AL BIRUNI
2,IBNU BATUTAH
4,4 TS 2
3,3 AL BIRUNI
3,IBNU KHALDUN
3,IBNU HAYYAN
2,2 IBNU SINA
2,2 AL KINDI
3,AL KHAWARIZMI
4,SN 1
5,5SN1
4,4SN1
5,5PTW
1,AL FATIH
2,2 AL GHAZALI
2,2 IBNU BATUTAH
4,4S1
3,IBNU BATUTAH
3,3 AL FATIH
2,IBNU KHALDUN
4,4S3
2,IBNU HAYYAN
5,S 2
4,4S2
1,AL GHAZALI
2,2 AL FATIH
2,AL KHAWARIZMI
5,S 3
5,5 PTS 1
1,AL KINDI
3,3 AL BUKHARI
1,1 AL FATIH
5,AP 2
5,5STP
1,1 IBNU RUSYD
5,TS 1
1,1 AL BIRUNI
4,4 PTW
4,TS 2
5,5S1
5,5 AP 2
4,4PTS2
1,IBNU RUSYD
4,4PTW
4,4STP
1,AL FARABI
4,S 1
4,4 SN 1
3,IBNU SINA
2,AL BUKHARI
4,4AP2
4,AP
1,1 AL GHAZALI
4,4SN2
4,SN 2
1,1 AL KHAWARIZMI
1,ALUMNI
3,3 IBNU HAYYAN
3,3 AL FARABI
1,1 IBNU SINA
1,1 IBNU HAYYAN
4,4AAP
5,5 PTS 2
1,IBNU BATUTAH
5,5TS1
2,IBNU SINA
4,4TS1
2,2 AL BIRUNI
3,AL BUKHARI
