Level,Name
5,5 EXCELLENT
1,ALUMNI
4,4 EXCELLENT
3,3 EFFICIENT
1,1 EXCELLENT
5,EFFICIENT
4,4 EFFICIENT
6,EFFICIENT
3,EFFICIENT
1,EXCELLENT
4,4 INTAN
PPKI TAHUN 1,IKHLAS
3,3 EXCELLENT
PPKI TAHUN 1,JUJUR
2,2 EFFICIENT
2,EXCELLENT
5,5 EFFICIENT
PPKI TAHUN 2,TEKUN
2,2 EXCELLENT
2,2 INTAN
PRASEKOLAH,PERMATA
4,EXCELLENT
4,4 BERLIAN
6,6 EXCELLENT
1,1 BERLIAN
PPKI TAHUN 3,AMANAH
2,2 BERLIAN
PPKI TAHUN 4,DEDIKASI
3,3 INTAN
5,EXCELLENT
3,3 BERLIAN
1,1 INTAN
6,6 BERLIAN
6,EXCELLENT
3,EXCELLENT
5,5 BERLIAN
4,EFFICIENT
