Level,Name
3,MUHAMMAD AL-FATEH
5,SALAHUDDIN AL-AYYUBI
6,MUHAMMAD AL-FATEH
6,6 MELUR
PPKI,AL-BIRUNI
PPKI,AL-RAZI
1,MUHAMMAD AL FATEH
4,SALAHUDDIN AL-AYYUBI
2,MUHAMMAD AL-FATEH
3,3 SALAHUDDIN AL-AYYUBI
PPKI,AL GHAZALI
5,MUHAMMAD AL-FATEH
1,SALAHUDDIN AL AYYUBI
PPKI,AL RAZI
3,SALAHUDDIN AL-AYYUBI
6,6 MAWAR
PPKI,AL-FARABI
1,SALAHUDDIN AL-AYYUBI
PPKI,AL-GHAZALI
PPKI,AL-JAZARI
6,SALAHUDDIN AL-AYYUBI
4,MUHAMMAD AL-FATEH
3,3 MELUR
2,2 MELUR
5,5 MAWAR
1,ALUMNI
1,MUHAMMAD AL-FATEH
KHAS,RENDAH ALI
KHAS,RENDAH UTHMAN
1,1 MELUR
PRASEKOLAH,PINTAR
2,SALAHUDDIN AL-AYYUBI
