Level,Name
4,KV2 DMD
2,2 SVM MPI
4 VOKASIONAL,2 DHD
2,2 SVM MTK
1,ALUMNI
4,KV2 DCA
2,KV(2023) SEM3 2 CMA
1 VOKASIONAL (2023),1 CHD
2 VOKASIONAL,2 CCA
S2DVM,1 DHA
2,2 SVM MTA
2 VOKASIONAL,2 MTK
1 VOKASIONAL (2023),1 CEA
1,KV1 CMA
2,2 SVM MPP
2,KV(2023) SEM3 2 HFD
S1SVM,1 CEB (2025)
2 VOKASIONAL,2 CEA
4 VOKASIONAL,2 DMB
3 VOKASIONAL,1 DCA
S2SVM,1 CHD
S2DVM,1 DDC
S2SVM,1 CEA
3,KV1 DMA
S4DVM,2 DMD
S4SVM,2 CMA
S1SVM,1 HFD (2025)
S4DVM,2 DDC A
S2DVM,1 DMD
2,KV(2023) SEM3 2 HSK
1,1 SVM MPI
2,2 SVM HFD
1,KV1 CMC
3,1 DEA
4,KV2 DMC
1,1 SVM MTK
S2DVM,1 DMA
S1SVM,1 HSK (2025)
3 VOKASIONAL,1 DDC A
1,1 SVM HKM
4 VOKASIONAL,2 DEA
3,KV1 DHD
S4SVM,2 CHD
1,KV1 CHD
4,KV2 DHA
1,KV1 HSK
S2DVM,1 DEB
1,KV1 CCA
S1SVM,1 MTK (2025)
S4SVM,2 CEB
1 VOKASIONAL (2023),1 CMC
S4DVM,2 DCA
S4DVM,2 DMC
S1SVM,1 CMC (2025)
4,KV2 DDC B
S4SVM,2 HSK
S1SVM,1 CHD (2025)
S4SVM,2 CMD
4 VOKASIONAL,2 DMD
S2SVM,1 CMC
3,KV1 DEB
3,1 DCA
4 VOKASIONAL,2 DHA
3 VOKASIONAL,1 DDC B
S2DVM,1 DMB
3,1 DMB
1 VOKASIONAL (2023),1 MTK
3,KV1 DMC
S2DVM,1 DHD
1 VOKASIONAL (2023),1 CMA
4 VOKASIONAL,2 DMA
S2SVM,1 MTK
S2DVM,1 DEA
S4SVM,2 CMC
3,KV1 DHA
S2SVM,1 CMA
3,1 DDC A
2 VOKASIONAL,2 CMA
1,KV(2023) 1 CCA
4,KV2 DMB
3 VOKASIONAL,1 DHA
1,1 SVM HSK
1 VOKASIONAL (2023),1 HSK
4 VOKASIONAL,2 DCA
4 VOKASIONAL,2 DMC
S4DVM,2 DEB
2,KV(2023) SEM3 2 CMC
S4DVM,2 DHD
4,2 DEA
1,KV1 CEB
1,1 SVM WTP
S2SVM,1 HSK
S1SVM,1 CEA (2025)
S4SVM,2 HFD
3,KV1 DMD
3 VOKASIONAL,1 DMC
1,KV1 CMD
S2DVM,1 DCA
3 VOKASIONAL,1 DMD
2,KV(2023) SEM3 2 CCA
3,1 DDC B
3,KV1 DCA
2 VOKASIONAL,2 HSK
2,KV(2023) SEM3 2 MTK
2 VOKASIONAL,2 CMD
S4SVM,2 CCA
1,1 SVM ETN
4 VOKASIONAL,2 DDC
S4SVM,2 MTK
3 VOKASIONAL,1 DEB
1 VOKASIONAL (2023),1 CEB
S4SVM,2 CEA
1,KV1 CEA
4,KV2 DDC A
S1SVM,1 CMD (2025)
4 VOKASIONAL,2 DEB
2,KV(2023) SEM3 2 CHD
S2SVM,1 CEB
4,KV2 DEB
3,KV1 DEA
3,1 DHA
S2SVM,1 CCA
4,KV2 DEA
1 VOKASIONAL (2023),1 CMD
2 VOKASIONAL,2 CMC
3,KV1 DMB
4,KV2 DHD
2 VOKASIONAL,2 CHD
3 VOKASIONAL,1 DMB
S2SVM,1 CMD
S4DVM,2 DMB
S2DVM,1 DMC
S1SVM,1 CMA (2025)
3,KV1 DDC
3 VOKASIONAL,1 DHD
2,KV(2023) SEM3 2 CEA
S4DVM,2 DDC B
S4DVM,2 DHA
2,2 SVM HKM
2 VOKASIONAL,2 CEB
3 VOKASIONAL,1 DEA
2,KV(2023) SEM3 2 CMD
2 VOKASIONAL,2 HFD
1,KV1 MTK
1 VOKASIONAL (2023),1 HFD
S1SVM,1 CCA (2025)
2,KV(2023) SEM3 2 CEB
S4DVM,2 DEA
