Level,Name
3,AL FARABI
2,ARIF
1,ALUMNI
6,RENDAH 6B UPM
4,IBNU SINA
3,GEMILANG
4,SENI VISUAL OPTIKAL
4,SAINS TULEN
6 ATAS,6A UKM
6,RENDAH PRA U B2
6 ATAS,6A USM
6,ATAS 6A UPM
6 RENDAH,6B UKM
1,ELIT
5,SENI VISUAL OPTIKAL
6 RENDAH,6B USM
1,AL BUKHARI
1,INTELEK
4,AL FARABI
6 SEM 2,6B UKM
6 SEM 2,6B USM
4,GEMILANG
6,ATAS PRA U A3
6 SEM 3,6A UPM
4,EKONOMI
4,PERNIAGAAN
2,ELIT
3,ARIF
6,RENDAH PRA U B1
5,SENI VISUAL KOSMOS
3,INTELEK
2,AL BUKHARI
2,INTELEK
3,AL-BUKHARI
6,ATAS 6A USM
4,CEMERLANG
4,SENI VISUAL FLORA
5,EKONOMI
6 RENDAH,6B UPM
4,BESTARI
PERALIHAN,PERALIHAN
5,IBNU SINA
4,WAWASAN
6,ATAS PRA U A2
4,PERAKAUNAN
5,SAINS TULEN
1,PERALIHAN
6,RENDAH 6B UKM
6,ATAS 6A UKM
1,CEMERLANG
6,ATAS PRA U A1
6,RENDAH PRA U B3
6 SEM 3,6A UKM
3,ELIT
6 SEM 3,6A USM
6,RENDAH 6B USM
3,AL BUKHARI
1,WAWASAN
4,SAINS SUKAN
5,PERNIAGAAN
2,CEMERLANG
1,AL FARABI
1,GEMILANG
6 SEM 2,6B UPM
2,WAWASAN
5,SENI VISUAL FLORA
4,ARIF
4,AL BUKHARI
4,INTELEK
2,AL FARABI
5,PERAKAUNAN
1,BESTARI
2,GEMILANG
6 ATAS,6A UPM
3,CEMERLANG
1,ARIF
3,BESTARI
2,BESTARI
5,SAINS SUKAN
4,SENI VISUAL KOSMOS
6,SEM 2 6B USM
3,WAWASAN
3,AL-FARABI
4,ELIT
