Level,Name
6,ATAS T6 ATAS 2023
1,CEMERLANG (CL)
5,T5 CEMERLANG (CL)
1,ALUMNI
5,5 CENDEKIAWAN (CW)
3,3 CENDEKIAWAN (CW)
3,CERIA (CR)
3,CEKAL(CK)
5,T5 CENDEKIAWAN (CW)
6,RENDAH T6 BAWAH
4,CERDIK (CD)
5,T5 CERDIK (CD)
3,3 CERIA (CR)
4,CENDEKIAWAN (CW)
2,CEMERLANG (CL)
6 SEM 3,6 ATAS (SEM 3)
2,2 CEKAL (CK)
1,T1 CEKAL(CK)
PPKI,PK CERDIK (CD)
PPKI,PK CERIA (CR)
2,T2 CEKAL(CK)
5,T5 CERIA (CR)
4,T4 CEKAL (CK)
5,CERDIK (CD)
5,CEMERLANG (CL)
PPKI,PK CENDEKIAWAN (CW)
6 SEM 2,6 ATAS (SEM 2)
PPKI,PK CEKAL (CK)
4,4 CENDEKIAWAN (CW)
1,CERDIK (CD)
2,T2 CERDIK (CD)
1,T1 CERIA (CR)
2,T2 CERIA (CR)
5,T5 CEKAL (CK)
2,T2 CENDEKIAWAN (CW)
PERALIHAN,PA
2,2 CERIA (CR)
1,1 CEMERLANG (CL)
3,T3 CEKAL (CK)
5,5 CERIA (CR)
2,CERDIK (CD)
3,CEMERLANG (CL)
3,T3 CERIA (CR)
1,T1 CERDIK (CD)
5,CENDEKIAWAN (CW)
3,T3 CENDEKIAWAN (CW)
4,CERIA (CR)
4,4 CEKAL (CK)
5,5 CEKAL (CK)
KHAS,MENENGAH PK CENDEKIAWAN (CW)
3,T3 CEKAL(CK)
1,1 CENDEKIAWAN (CW)
1,CENDEKIAWAN (CW)
4,4 CEMERLANG (CL)
1,1 CEKAL (CK)
1,1 CERIA (CR)
2,T2 CEMERLANG (CL)
4,CEKAL (CK)
3,T3 CEMERLANG (CL)
4,T4 CERDIK (CD)
3,CERDIK (CD)
1,1 CERDIK (CD)
6 ATAS,T6B (SEMESTER 2)
1,CERIA (CR)
1,T1 CEMERLANG (CL)
3,CENDEKIAWAN (CW)
2,CENDEKIAWAN (CW)
5,5 CERDIK (CD)
2,2 CENDEKIAWAN (CW)
5,CEKAL (CK)
2,2 CERDIK (CD)
5,5 CEMERLANG (CL)
KHAS,MENENGAH PK CEKAL (CK)
3,3 CEMERLANG (CL)
PPKI,PK CEMERLANG (CL)
6,RENDAH T6B (SEMESTER 1)
1,CEKAL (CK)
3,T3 CERDIK (CD)
2,CERIA (CR)
2,2 CEMERLANG (CL)
4,T4 CENDEKIAWAN (CW)
4,T4 CEMERLANG (CL)
1,T1 CEKAL (CK)
4,T4 CERIA (CR)
4,CEMERLANG (CL)
5,CERIA (CR)
4,4 CERDIK (CD)
2,T2 CEKAL (CK)
2,CEKAL (CK)
6,ATAS T6A (SEMESTER 3)
3,3 CEKAL(CK)
3,3 CERDIK (CD)
1,T1 CENDEKIAWAN (CW)
4,4 CERIA (CR)
