Level,Name
1,SIMON
3,SIMON
5,KUNING
4,MERAH
4,JINGGA
5,FIDELIS
4,SC3
1,JINGGA
2,SIMON
3,JINGGA
4,FRANCIS
4,HELEN
4,HIJAU
1,MERAH
1,HELEN
1,FRANCIS
1,HIJAU
3,FRANCIS
3,HIJAU
1,BIRU
3,MERAH
3,HELEN
2,JINGGA
5,CHARLES
3,BIRU
2,FRANCIS
2,HIJAU
2,MERAH
1,INDIGO
3,INDIGO
5,SC 1
2,BIRU
2,HELEN
5,SC 3
4,KUNING
5,SIMON
1,KUNING
2,INDIGO
4,Sc 1
4,FIDELIS
3,KUNING
1,FIDELIS
3,FIDELIS
5,MERAH
5,JINGGA
4,SC2
2,KUNING
5,FRANCIS
5,HELEN
4,CHARLES
5,HIJAU
1,CHARLES
2,FIDELIS
3,CHARLES
5,SC 2
1,ALUMNI
4,SIMON
2,CHARLES
