Level,Name
6,ATAS UM 2
KHAS,MENENGAH TOPAZ
PPKI,TOPAZ
1,RAJIN
3,MAJU
6,ATAS UUM 3
5,UTHM
5,UM
2,IKHLAS
2,EFEKTIF
6,RENDAH USM 1
6,RENDAH UM 1
6,RENDAH UTM 1
2,JUJUR
6 ATAS,UPM 2
6,ATAS UUM 2
4,USM
6,RENDAH UPM 1
6,ATAS UPM 3
5,UPM
6 SEM 2,USM2
5,UUM
6,ATAS USM 2
1,CERDIK
6 SEM 2,UPM2
3,JUJUR
4,ADIL
5,UKM
6 SEM 2,UUM2
4,UTM
6,ATAS UTM 2
PPKI,FIRUZ
4,RAJIN
6,ATAS UKM 3
6 SEM 3,USM3
1,SETIA
3,ADIL
5,UIA
5,USIM
1,BERANI
4,SETIA
1,MAJU
6,ATAS UM 3
1,SABAR
KHAS,MENENGAH BERLIAN
4,BERANI
4,SABAR
4,SC1
6 ATAS,UM 2
6,ATAS UPM 2
4,BA3
6,ATAS USM 3
4,AS2
4,UTHM
6,RENDAH UUM 1
4,UM
6 SEM 3,UTM3
2,RAJIN
5,UPSI
1,IKHLAS
6 ATAS,UKM 2
6 SEM 2,UKM2
6 SEM 3,UM3
1,EFEKTIF
1,KERJASAMA
4,EFEKTIF
1,JUJUR
6,RENDAH UKM 1
4,KERJASAMA
6,ATAS UTM 3
3,RAJIN
PERALIHAN,CERDIK
4,MAJU
4,UPM
PPKI,ZIRKON
6 SEM 3,UUM3
6 ATAS,USM 2
5,USM
6,ATAS UKM 2
6 ATAS,UTM 2
KHAS,MENENGAH OPAL
3,SETIA
4,AS1
4,UKM
3,BERANI
3,SABAR
PPKI,OPAL
4,BA2
4,UIA
4,USIM
6 SEM 3,UKM3
4,VA2
5,UTM
2,KERJASAMA
4,VA1
6 SEM 2,UTM2
PPKI,FIRUS
2,SETIA
6 SEM 2,UM2
4,IKHLAS
2,BERANI
2,MAJU
4,SC2
2,SABAR
4,BA1
1,ALUMNI
4,JUJUR
3,IKHLAS
6 ATAS,UUM 2
PPKI,BERLIAN
3,EFEKTIF
4,UUM
6 SEM 3,UPM3
4,VA3
3,KERJASAMA
