Level,Name
KHAS,MENENGAH AL KHINDI
3,IBNU KHALDUN
4,IBNU SINA
5,SAINS
5,IBNU BATTUTA
PPKI,AL FARABI
1,IBNU RUSYD
5,IBNU SINA
PPKI,AL KHINDI
2,IBNU RUSYD
1,Ibnu Battuta
1,IBNU NAFIS
3,IBNU BATTUTA
4,IBNU RUSYD
2,IBNU NAFIS
3,IBNU SINA
1,IBNU KHALDUN
4,IBNU NAFIS
5,IBNU RUSYD
5,SENI VISUAL
2,IBNU KHALDUN
5,TERAS 1
5,TERAS 2
1,ALUMNI
5,TEKNIKAL
KHAS,MENENGAH AL BIRUNI
5,IBNU NAFIS
4,IBNU KHALDUN
1,IBNU BATTUTA
PPKI,AL BIRUNI
3,IBNU RUSYD
2,IBNU BATTUTA
5,IBNU KHALDUN
3,IBNU NAFIS
4,IBNU BATTUTA
