Level,Name
PPKI,UNIT 7
5,GEMILANG
1,CEMERLANG
1,1 DEDIKASI
6,ATAS 6A UKM
4,FITRAH
1,1 JAYA
2,DEDIKASI
5,BESTARI
1,ARIF
3,BESTARI
5,5 DEDIKASI
2,2 ARIF
4,4 HARAPAN
6 ATAS,6A USM
2,GEMILANG
2,2 FITRAH
5,CEMERLANG
3,3 BESTARI
KHAS,MENENGAH UNIT 4
3,CEMERLANG
6 SEM 2,UKM
1,1 INTELEK
KHAS,MENENGAH UNIT 6
2,BESTARI
5,ARIF
3,3 HARAPAN
2,EHSAN
3,3 GEMILANG
4,4 ARIF
3,ARIF
6 ATAS,6A UPM
1,JAYA
2,2 BESTARI
4,DEDIKASI
KHAS MENENGAH,UNIT 8
3,3 EHSAN
1,HARAPAN
4,4 GEMILANG
1,ALUMNI
1,1 BESTARI
1,INTELEK
PPKI,UNIT 2
2,ARIF
KHAS,MENENGAH UNIT 5
KHAS MENENGAH,UNIT 10
4,GEMILANG
5,5 GEMILANG
6 SEM 2,USM
KHAS MENENGAH,UNIT 6
1,FITRAH
6,ATAS 6A UM
6,SEM 2 UKM
3,JAYA
PPKI,UNIT 9
PPKI,UNIT 1
5,5 BESTARI
4,BESTARI
1,1 GEMILANG
4,EHSAN
5,5 CEMERLANG
1,1 ARIF
3,HARAPAN
5,INTELEK
2,2 CEMERLANG
3,INTELEK
2,2 GEMILANG
5,5 INTELEK
PPKI,UNIT 8
KHAS MENENGAH,UNIT 4
5,5 HARAPAN
KHAS MENENGAH,UNIT 5
KHAS,MENENGAH UNIT 1
4,4 EHSAN
5,FITRAH
4,4 PVMA
KHAS MENENGAH,UNIT 3
PPKI,UNIT 10
3,FITRAH
6,SEM 2 USM
4,PVMA
6,ATAS 6A UPM
2,CEMERLANG
4,4 CEMERLANG
3,3 CEMERLANG
1,DEDIKASI
3,3 INTELEK
KHAS MENENGAH,UNIT 7
6 SEM 2,UM
2,2 HARAPAN
4,4 BESTARI
PPKI,UNIT 4
6,RENDAH UKM
PPKI,UNIT 5
6 SEM 2,UPM
1,GEMILANG
5,HARAPAN
6 ATAS,6A UM
6,SEM 2 UPM
5,5 EHSAN
3,3 DEDIKASI
5,DEDIKASI
1,BESTARI
3,DEDIKASI
1,EHSAN
2,2 EHSAN
5,5 ARIF
4,CEMERLANG
KHAS,MENENGAH UNIT 3
5,5 PVMA
KHAS,MENENGAH UNIT 7
2,JAYA
3,3 FITRAH
1,1 HARAPAN
6,ATAS 6A USM
3,3 ARIF
3,GEMILANG
6,RENDAH UPM
4,ARIF
2,HARAPAN
PPKI,UNIT 6
2,INTELEK
1,1 FITRAH
6,SEM 2 UM
6 ATAS,6A UKM
5,EHSAN
3,EHSAN
4,4 DEDIKASI
KHAS MENENGAH,UNIT 2
2,FITRAH
1,1 CEMERLANG
4,4 INTELEK
2,2 JAYA
PPKI,UNIT 11
2,2 DEDIKASI
4,4 FITRAH
PPKI,UNIT 3
5,PVMA
KHAS MENENGAH,UNIT 1
KHAS MENENGAH,UNIT 9
2,2 INTELEK
3,3 JAYA
1,1 EHSAN
4,HARAPAN
4,INTELEK
5,5 FITRAH
