Level,Name
4,AMAL
1,ALUMNI
KHAS,RENDAH PK 3
1,CEMERLANG
4,EFISIEN
PK,3
PPKI,PK 1
4,DEDIKASI
5,AMAL
3,AMAL
5,EFISIEN
6,AMAL
KHAS,RENDAH PK 1
2,BAKTI
6,EFISIEN
2,CEMERLANG
3,EFISIEN
5,DEDIKASI
PPKI,PK 2
3,DEDIKASI
6,DEDIKASI
PRASEKOLAH,JAUHARI
PPKI,PK 4
4,BAKTI
4,CEMERLANG
1,EFISIEN
KHAS,RENDAH PK 2
PK,1
1,DEDIKASI
5,BAKTI
KHAS,RENDAH PK 4
PPKI,PK 3
3,BAKTI
5,CEMERLANG
6,BAKTI
2,AMAL
6,CEMERLANG
3,CEMERLANG
2,EFISIEN
PK,4
PRASEKOLAH,MUTIARA
PRASEKOLAH,PRASEKOLAH MUTIARA
2,DEDIKASI
1,BAKTI
PRASEKOLAH,PRASEKOLAH JAUHARI
