Level,Name
3,AL FARABI
2,2 IBNU KHALDUN
KHAS,MENENGAH KVS ROTI (1)
5,AL-BIRUNI
5,IBNU KHALDUN
5,5 AL-BIRUNI
2,AL-KHINDI
2,2 IBNU SINA
4,AL-KHAWARIZMI
KAV,2
KHAS MENENGAH,KAV 1
3,AL-BIRUNI
2,AL BIRUNI
3,IBNU KHALDUN
2,2 AL FARABI
KHAS MENENGAH,KVS ASAS JAHITAN (2)
4,4 AL-BIRUNI
2,AL-KHAWARIZMI
KHAS,MENENGAH KAV 2
1,1 AL FARABI
5,5 IBNU SINA
5,AL-KHINDI
KHAS MENENGAH,KVS ASAS JAHITAN (1)
4,IBNU SINA
2,AL KHAWARIZMI
5,5 AL-KHINDI
1,IBNU SINA
5,5 IBNU KHALDUN
PPKI,KVS ASAS JAHITAN (2)
1,ALUMNI
3,AL-KHINDI
3,3 AL KHINDI
3,AL BIRUNI
3,3 IBNU KHALDUN
1,AL KHAWARIZMI
5,AL-KHAWARIZMI
2,IBNU SINA
4,AL-FARABI
4,4 IBNU KHALDUN
KHAS,MENENGAH KR ANYAMAN
PPKI,KVS ASAS ROTI (1)
1,AL KHINDI
5,5 AL-FARABI
3,3 IBNU SINA
3,AL-KHAWARIZMI
4,4 AL-KHAWARIZMI
2,2 AL KHAWARIZMI
5,AL-FARABI
3,AL KHAWARIZMI
PPKI,KVS ASAS ROTI (2)
2,AL KHINDI
5,IBNU SINA
3,AL-FARABI
1,1 AL KHAWARIZMI
KHAS MENENGAH,KR ANYAMAN
1,1 IBNU SINA
4,4 IBNU SINA
3,IBNU SINA
4,IBNU KHALDUN
2,AL FARABI
KHAS,MENENGAH KR MANIK
4,4 AL-FARABI
KHAS,MENENGAH KVS JAHITAN (1)
KHAS,MENENGAH KVS ROTI (2)
2,AL-BIRUNI
2,IBNU KHALDUN
KHAS MENENGAH,KR MASAKAN
3,3 AL KHAWARIZMI
2,2 AL KHINDI
1,1 AL BIRUNI
1,AL FARABI
KHAS,MENENGAH KAV 1
3,AL KHINDI
5,5 AL-KHAWARIZMI
KELAS,ALUMNI
4,AL-KHINDI
4,4 AL-KHINDI
4,AL-BIRUNI
KHAS MENENGAH,KR MANIK
1,1 IBNU KHALDUN
2,2 AL BIRUNI
KHAS,MENENGAH KVS JAHITAN (2)
3,3 AL BIRUNI
1,IBNU KHALDUN
1,1 AL KHINDI
1,AL BIRUNI
3,3 AL FARABI
