Level,Name
2,TEKUN
2,UNGGUL
6,KARISMA
PRASEKOLAH,IBNU KHALDUN
3,TEKUN
3,UNGGUL
4,SETIA
2,KARISMA
2,EFISIEN
KHAS,RENDAH RUBY
KHAS,RENDAH 2 DELIMA
1,SETIA
KHAS RENDAH,3 RUBY
3,KARISMA
ZAMRUD,
3,EFISIEN
PRASEKOLAH,IBNU SINA
1,ALUMNI
,RUBY
KELAS,KHAS RENDAH RUBY
KHAS,RENDAH 1 BERLIAN
4,TEKUN
,ZAMRUD
4,UNGGUL
5,SETIA
1,TEKUN
1,UNGGUL
4,KARISMA
4,EFISIEN
KHAS,RENDAH PERMATA
PPKI,RUBY
PPKI,ZAMRUD
6,SETIA
KELAS,ALUMNI
1,KARISMA
,BERLIAN
RUBY,
5,TEKUN
5,UNGGUL
KELAS,KHAS RENDAH ZAMRUD
2,SETIA
KELAS,KHAS RENDAH DELIMA
KHAS,RENDAH 2 MUTIARA
6,TEKUN
6,UNGGUL
3,SETIA
PPKI,BERLIAN
PPKI,DELIMA
BERLIAN,
KHAS RENDAH,4 ZAMRUD
KELAS,KHAS RENDAH BERLIAN
PPKI,MUTIARA
5,KARISMA
KHAS RENDAH,MUTIARA
KELAS,KHAS RENDAH MUTIARA
KHAS,RENDAH ZAMRUD
KHAS RENDAH,BERLIAN
KHAS RENDAH,DELIMA
