Level,Name
2,ETIKA
PPKI,4 UPK A
6S2,ETIKA
6A,CENDEKIA
6 ATAS,6S3 GIGIH
1,UPK B
6 RENDAH,6S1 DINAMIK
4,4 ETIKA
6 RENDAH,6S1 ETIKA
6S3,CENDEKIA
6 ATAS,6 BESTARI S2
4,ETIKA
3,CENDEKIA
PPKI,1 UPK A
6 SEM 3,6S3 CENDEKIA
6A,BESTARI
6S2,AKAS
KHAS,MENENGAH 2 UPK
6 ATAS,6 FATAN S2
6 SEM 2,6S2 AKAS
6S3,BESTARI
6A,FATAN
1,ETIKA
6 RENDAH,6S1 GIGIH
3,BESTARI
6 SEM 3,6S3 FATAN
6A,DINAMIK
6S3,FATAN
KHAS MENENGAH,1 UPK A
5,UPK B
3,DINAMIK
6A,GIGIH
3,UPK
6,RENDAH GIGIH
1,AKAS
KHAS,MENENGAH 1 UPK B
KHAS,MENENGAH 1 UPK A
6 ATAS,6 AKAS S2
PPKI,5 UPK
6 ATAS,6S3 DINAMIK
PPKI,1 UPK C
6 ATAS,6S3 CENDEKIA
5,ETIKA
6 SEM 2,6S2 DINAMIK
2,UPK
1,UPK C
6 RENDAH,6S1 CENDEKIA
KHAS MENENGAH,5 UPK
KHAS,MENENGAH 4 UPK B
KHAS MENENGAH,2 UPK
PPKI,3 UPK
6 SEM 3,6S3 BESTARI
2,CENDEKIA
5,AKAS
6S2,CENDEKIA
1,ALUMNI
6 ATAS,6 GIGIH S2
6 SEM 2,6S2 FATAN
6 SEM 3,6S3 ETIKA
4,CENDEKIA
KHAS,MENENGAH 5 UPK
6 SEM 2,6S2 BESTARI
6 SEM 3,6S3 AKAS
KHAS MENENGAH,3 UPK
6 SEM 2,6S2 GIGIH
6S3,GIGIH
6 RENDAH,6S1 AKAS
2,BESTARI
6A,ETIKA
KHAS,MENENGAH 4 UPK A
4,UPK A
6S2,BESTARI
6S3,ETIKA
3,ETIKA
6 ATAS,6 DINAMIK S2
6S2,FATAN
2,DINAMIK
4,BESTARI
1,CENDEKIA
6 SEM 2,6S2 CENDEKIA
6S2,DINAMIK
6 SEM 2,6S2 ETIKA
6 RENDAH,6S1 FATAN
KELAS,ALUMNI
4,DINAMIK
6 ATAS,6S3 FATAN
6 ATAS,6S3 BESTARI
6 ATAS,6 CENDEKIA S2
6A,AKAS
1,UPK A
6S3,AKAS
6S2,GIGIH
3,AKAS
1,BESTARI
6 ATAS,6S3 ETIKA
5,UPK
PPKI,1 UPK B
6 ATAS,6S3 AKAS
1,DINAMIK
6S3,DINAIMIK
6 SEM 3,6S3 GIGIH
5,CENDEKIA
KHAS,MENENGAH 3 UPK
KHAS MENENGAH,4 UPK A
PPKI,4 UPK B
KHAS MENENGAH,1 UPK B
2,AKAS
2,UPK B
6 SEM 3,6S3 DINAIMIK
4,AKAS
5,BESTARI
4,UPK B
6 ATAS,6 ETIKA S2
KHAS MENENGAH,4 UPK B
6 RENDAH,6S1 BESTARI
5,DINAMIK
