Level,Name
1,AUTENTIK (DLP)
1,1 FUTURIS
2,FUTURIS
5,5 ELIT
2,2 CENDEKIA
1,1 ELIT
3,AUTENTIK (DLP)
4,AUTENTIK (DLP)
1,DINAMIK
1,CENDEKIA
1,BITARA
2,AUTENTIK (DLP)
1,ELIT
2,2 ELIT
4,4 CENDEKIA
1,ALUMNI
3,3 DINAMIK
4,DINAMIK
5,AUTENTIK (DLP)
3,CENDEKIA
3,DINAMIK
2,2 FUTURIS
4,CENDEKIA
3,BITARA
4,BITARA
3,3 ELIT
5,5 CENDEKIA
3,ELIT
4,ELIT
1,FUTURIS
2,DINAMIK
3,3 AUTENTIK (DLP)
2,CENDEKIA
2,BITARA
5,DINAMIK
1,1 CENDEKIA
1,1 AUTENTIK (DLP)
2,ELIT
2,2 BITARA
3,FUTURIS
5,CENDEKIA
5,BITARA
1,1 DINAMIK
5,ELIT
KELAS,ALUMNI
4,4 AUTENTIK (DLP)
