Level,Name
5,5 TULIP
4,HIBISCUS
3,3 NILAM
3,ORKID
1,1 HIBISCUS
2,NILAM
1,HIBISCUS
3,3 DAHLIA
3,3 ORKID
1,LAVENDER
3,3 RAFLESIA
5,5 LAVENDER
2,2 LAVENDER
5,HIBISCUS
3,3 HIBISCUS
4,BERLIAN
1,1 TULIP
1,1 DAHLIA
4,4 DAHLIA
4,4 HIBISCUS
P,2
3,DAHLIA
4,4 BERLIAN
5,LAVENDER
4,IXORA
1,IXORA
3,3 AKASIA
2,HIBISCUS
3,AKASIA
2,2 RAFLESIA
1,NILAM
5,5 ORKID
3,3 BERLIAN 2025
3,LAVENDER
5,NILAM
3,ZAMRUD
2,BERLIAN
2,IXORA
4,RAFLESIA
3,NILAM
1,ALUMNI
2,2 ZAMRUD
5,5 RAFLESIA
5,5 NILAM
1,BERLIAN
2,2 ORKID
2,RAFLESIA
5,BERLIAN
3,HIBISCUS
4,TULIP
4,4 LAVENDER
1,1 AKASIA
3,BERLIAN
5,5 IXORA
4,4 ORKID
3,IXORA
1,1 ORKID
1,RAFLESIA
4,4 AKASIA
4,4 IXORA
3,3 TULIP
5,RAFLESIA
4,4 RAFLESIA
2,TULIP
1,1 ZAMRUD
2,2 BERLIAN
3,3 BERLIAN
1,1 RAFLESIA
PERALIHAN,PERALIHAN
1,1 BERLIAN
4,DAHLIA
5,5 ZAMRUD
1,DAHLIA
3,RAFLESIA
2,2 NILAM
3,3 IXORA
3,3 LAVENDER
2,ORKID
4,AKASIA
1,AKASIA
5,DAHLIA
1,TULIP
4,LAVENDER
1,1 NILAM
2,2 IXORA
4,ZAMRUD
2,2 AKASIA
5,AKASIA
5,TULIP
1,ZAMRUD
4,4 ZAMRUD
2,DAHLIA
4,ORKID
5,5 AKASIA
1,ORKID
5,ZAMRUD
1,1 IXORA
4,NILAM
2,AKASIA
KELAS,ALUMNI
2,2 TULIP
3,TULIP
3,3 ZAMRUD
5,5 DAHLIA
2,2 DAHLIA
4,4 NILAM
5,ORKID
2,LAVENDER
PERALIHAN,P1
5,5 HIBISCUS
4,4 TULIP
2,2 HIBISCUS
2,ZAMRUD
5,5 BERLIAN
1,1 LAVENDER
