Level,Name
3,KUARZIT
2,MUTIARA
2,DELIMA
2,BERLIAN
3,MIKA
4,TOPAZ
2,OPAL
4,JED
3,MUTIARA
3,DELIMA
3,BERLIAN
2,NILAM
1,TOPAZ
4,INTAN
1,JED
3,OPAL
4,ZAMRUD
3,NILAM
1,INTAN
1,ALUMNI
1,ZAMRUD
4,KUARZIT
4,MIKA
5,TOPAZ
4,MUTIARA
4,DELIMA
4,BERLIAN
5,JED
1,MIKA
1,KUARZIT
5,INTAN
1,MUTIARA
5,ZAMRUD
1,EMAS
4,NILAM
1,DELIMA
1,BERLIAN
5,KUARZIT
5,MIKA
1,OPAL
2,TOPAZ
PERALIHAN,EMAS
1,NILAM
5,MUTIARA
2,JED
5,DELIMA
3,TOPAZ
2,INTAN
5,BERLIAN
2,ZAMRUD
3,JED
2,KUARZIT
3,INTAN
5,NILAM
3,ZAMRUD
2,MIKA
