Level,Name
PPKI,PK3
6 SEM 2,6A2
PPKI,P.KHAS 2
PK,3
3,USIM
3,UMK
5,UUM
PPKI,PK4
5,UTP
1,UPSI
1,UM
3,UTM
PPKI,PK5
1,UNISZA
6A1,
1,USM
2,USIM
5,UMT
2,UMK
PPKI,P.KHAS 7
PPKI,P.KHAS 6
4,USIM
4,UMK
6R,2
PPKI,P.KHAS 5
6 ATAS,6R1
5,UNIMAS
3,UPM
,6A1
KAV,ASAS JAHITAN 2
3,UTEM
3,UKM
3,USM
6,ATAS 6A2
PPKI,PK6
PPKI,PKHAS 9
PK,2
2,UTEM
6,RENDAH 6R2
PK,7
4,UTHM
PK,4
2,UTM
4,UTEM
4,UITM
1,ALUMNI
3,UM
PK,5
4,UTM
6 SEM 2,6A1
KVS,PEMBUATAN ROTI
PPKI,PK2
KVS,OP PENGELUARAN TANAMAN
3,UNISZA
1,USIM
6A2,
PPKI,PK8
1,UMK
PPKI,P.KHAS 8
KAV,ASAS JAHITAN
1,UTM
2,UM
PK,8
2,UPM
4,UMS
2,UKM
PPKI,P.KHAS 1
4,UM
2,UNISZA
4,UIAM
2,USM
4,UPM
6,RENDAH 6R1
4,UKM
KEFUNGSIAN,RENDAH
5,UTHM
4,UUM
,6A2
6R,1
4,USM
4,UTP
5,UITM
6 ATAS,6R2
KAV,ASAS TANAMAN
1,UPM
PPKI,P.KHAS 4
1,UTEM
1,UKM
PPKI,P.KHAS 3
4,UMT
2,UPSI
PK,1
6,ATAS 6A1
5,UMS
PK,6
4,UNIMAS
PPKI,PK1
PPKI,PK7
5,UIAM
