Level,Name
PPKI,PK RUBY
PPKI,PK AMBER
3,RUBY
4,RUBY
1,AMBER
1,DEDIKASI
2,SAPPHIRE
2,BAKTI
3,CEKAL
4,CEKAL
2,RUBY
5,SAPPHIRE
KHAS RENDAH,PK MUTIARA
5,BAKTI
KHAS RENDAH,PK NILAM
PRASEKOLAH,PEARL
PRASEKOLAH,PRASEKOLAH PEARL
3,AMBER
3,DEDIKASI
4,AMBER
2,CEKAL
PPKI,PK ZIRCON
1,AMAL
5,CEKAL
1,TOPAZ
4,BAKTI
1,SAPPPHIRE
2,DEDIKASI
2,AMBER
1,ALUMNI
3,AMAL
4,AMAL
5,AMBER
5,DEDIKASI
PPKI,PK TOPAZ
3,TOPAZ
4,TOPAZ
6,AMBER
1,BAKTI
2,AMAL
PRASEKOLAH,PRASEKOLAH DIAMOND
KHAS RENDAH,PK INTAN
2,TOPAZ
5,AMAL
PPKI,PK SAPPHIRE
PRASEKOLAH,DIAMOND
3,SAPPHIRE
4,SAPPHIRE
5,TOPAZ
1,CEKAL
6,AMAL
3,BAKTI
