Level,Name
AZALEA,
1,ALUMNI
1,INTAN
KHAS,RENDAH AZALEA
1,KRISAN
2,NILAM
4,ZAMRUD
KHAS,RENDAH ASTER
1,DELIMA
4,CAMELIA
6,IRIS
5,FREESIA
1,MARIGOLD
6,GLOXINIA
PPKI,MUTIARA 6
KHAS,RENDAH AMARYLLIS
4,NILAM
KHAS,RENDAH AVENS
KHAS,RENDAH ALAMANDA
5,ZAMRUD
2,INTAN
4,AKASIA
6,ZAMRUD
KELAS,AMARYLLIS
PPKI,MUTIARA 5
1,LAVATERA
3,ZAMRUD
PRASEKOLAH,BERLIAN
ASTER,
4,BEGONIA
5,NILAM
6,NILAM
2,DELIMA
3,RAFFLESIA
3,NILAM
6,JASMINE
PPKI,MUTIARA 1
2,QUINCE
5,DAISY
PPKI,MUTIARA 2
PPKI,MUTIARA 3
PPKI,MUTIARA 4
KHAS,RENDAH ANGGERIK
6,DELIMA
1,ZAMRUD
6,HELICONIA
KELAS,AVENS
3,SAKURA
4,DELIMA
,ASTER
1,NILAM
KELAS,ALUMNI
PRASEKOLAH,BAIDURI
2,ORCHID
5,DELIMA
2,ZAMRUD
3,DELIMA
,AZALEA
2,NASTURTRIUM
