Level,Name
1,BRILLIANT
4,EXCELLENT
2,BRILLIANT
6,GENIUS
PPKI,NILAM
PRASEKOLAH,KELAS ARIF
PPKI,TOPAZ
4,BRILLIANT
5,EXCELLENT
KHAS,RENDAH NILAM
PPKI,ZAMRUD
5,BRILLIANT
1,INTELLIGENT
2,INTELLIGENT
3,EXCELLENT
6,EXCELLENT
1,EXCELLANT
1,GENIUS
KHAS RENDAH,NILAM
4,INTELLIGENT
2,EXCELLANT
2,GENIUS
3,BRILLIANT
PRASEKOLAH,KELAS BIJAK
6,BRILLIANT
KHAS RENDAH,ZAMRUD
1,ALUMNI
5,INTELLIGENT
4,GENIUS
KHAS,RENDAH ZAMRUD
5,GENIUS
2,EXCELLENT
3,INTELLIGENT
6,INTELLIGENT
3,EXCELLANT
3,GENIUS
