Level,Name
1,1 ELIT
3,3 UNIKL
1,1 USM
1,1 CEMERLANG
2,2 INTELEK
4,UPSI
PPKI,AKASIA 6
3,ELIT
2,HIKMAH
PPKI,AKASIA 1
3,3 UIA
3,UKM
5,5 SG
3,UIA
5,5 SN
2,2 UPM
5,SV 6
PPKI,AKASIA 4
5,UKM
3,3 FIKRAH
5,USM
1,UTHM
1,1 UTP
5,5 SV 3
3,3 ELIT
4,4 UPSI
5,AKAUN
1,FIKRAH
2,INTELEK
4,4 SAINS
1,1 BESTARI
1,1 UM
1,1 DINAMIK
4,UPM
4,SV 3
5,5 UIA
5,TEKNIKAL
5,IK 2
5,5 UTP
3,3 KREATIF
5,5 AK
PPKI,AKASIA 7
1,UKM
4,4 SV 5
5,5 AKAUN
2,ULTIMATE
1,USM
2,2 UPSI
4,4 SV 6
2,GEMILANG
4,UM
1,LUHUR
2,UTM
4,4 SAINS SUKAN
3,FIKRAH
5,5 SAINS
5,5 UM
1,BESTARI
4,4 UTP
5,5 UKM
1,1 UKM
AKASIA,2
4,4 USM
4,4 SV 2
4,SV 4
2,2 UNIKL
1,UPSI
3,3 CEMERLANG
1,1 UTM
5,5 IK 2
4,SV 2
1,ARIF
1,MULIA
3,3 DINAMIK
1,KREATIF
2,2 KREATIF
4,SV 5
3,USM
3,3 UPM
1,1 LUHUR
2,ELIT
5,5 USM
3,UTP
4,4 IK 2
KHAS,MENENGAH AKASIA 7
AKASIA,1
AKASIA,5
2,UKM
3,BESTARI
3,3 UTHM
3,UM
1,1 MULIA
5,UTP
PPKI,AKASIA 2
2,UIA
4,4 SV 1
1,1 JITU
5,UM
3,UPSI
KHAS,MENENGAH AKASIA 1
4,SAINS
1,JITU
3,ARIF
2,2 DINAMIK
3,KREATIF
4,IK 1
5,5 IK 1
1,UPM
4,SG
5,SV 4
2,2 UKM
5,5 TEKNIKAL
PPKI,AKASIA 5
2,2 JITU
4,SAINS SUKAN
2,2 ARIF
4,SV 1
1,UTP
5,SV 5
KHAS,MENENGAH AKASIA 5
1,1 ARIF
2,2 BESTARI
3,3 JITU
4,UTM
4,4 UIA
1,UM
4,4 SV 4
3,3 USM
2,UTHM
1,UNIKL
3,JITU
4,4 SN
3,3 UTP
2,2 GEMILANG
5,5 UTM
1,DINAMIK
5,5 SV 2
KHAS,MENENGAH AKASIA 2
5,5 UPM
2,FIKRAH
3,UPM
2,2 USM
3,3 HIKMAH
1,1 KREATIF
1,1 UTHM
5,UPM
1,HIKMAH
3,3 UTM
4,4 SV 3
1,1 ULTIMATE
3,CEMERLANG
4,4 AK
5,IK 1
2,2 ELIT
5,SV 3
2,2 ULTIMATE
4,SV 6
5,SG
2,USM
3,UNIKL
4,4 SG
4,UKM
5,5 SV 4
3,3 ULTIMATE
2,UTP
3,DINAMIK
4,UIA
4,4 UKM
2,BESTARI
AKASIA,7
2,2 FIKRAH
3,3 UM
2,2 UIA
3,3 INTELEK
3,HIKMAH
1,INTELEK
1,1 UIA
2,UPSI
3,3 GEMILANG
5,5 SV 5
3,3 ARIF
PPKI,AKASIA 3
2,ARIF
4,IK 2
2,KREATIF
5,SV 2
4,4 UTM
1,1 UPM
KHAS,MENENGAH AKASIA 6
1,CEMERLANG
2,2 UM
3,3 BESTARI
3,3 UKM
AKASIA,4
1,ALUMNI
1,GEMILANG
1,UTM
3,INTELEK
5,5 SV 1
1,1 UNIKL
PERALIHAN,PERALIHAN
2,2 UTM
2,JITU
5,UIA
5,SAINS
4,4 IK 1
4,4 UM
1,1 GEMILANG
1,1 UPSI
KHAS,MENENGAH AKASIA 3
2,2 HIKMAH
1,1 HIKMAH
4,4 UPM
3,3 UPSI
3,ULTIMATE
2,2 UTHM
3,GEMILANG
1,ELIT
5,5 SV 6
KHAS,MENENGAH AKASIA 4
1,1 INTELEK
4,USM
2,2 CEMERLANG
1,1 FIKRAH
2,2 UTP
3,UTM
2,CEMERLANG
4,UTP
5,SV 1
4,AKAUN
2,UM
4,4 AKAUN
2,UNIKL
5,UTM
1,UIA
2,DINAMIK
