Level,Name
5,EFEKTIF
5,INOVATIF
KHAS,RENDAH PENDIDIKAN KHAS KREATIF
6,6 INOVATIF A
KHAS RENDAH,PENDIDIKAN KHAS EFEKTIF B
3,3 KREATIF
1,ALUMNI
4,INOVATIF A
4,KREATIF A
KHAS,RENDAH PENDIDIKAN KHAS PROAKTIF
PRASEKOLAH,INOVATIF
4,KREATIF
2,INOVATIF A
2,KREATIF A
1,INOVATIF
KHAS,RENDAH PENDIDIKAN KHAS INOVATIF
KHAS RENDAH,PENDIDIKAN KHAS KREATIF A
5,5 EFEKTIF
6,INOVATIF A
3,KREATIF A
PPKI,KREATIF
6,KREATIF A
2,KREATIF
1,EFEKTIF A
KHAS,RENDAH PENDIDIKAN KHAS EFEKTIF
3,KREATIF
6,KREATIF
PPKI,EFEKTIF
4,EFEKTIF
PPKI,PROAKTIF
4,INOVATIF
5,KREATIF A
PPKI,INOVATIF
3,3 EFEKTIF
5,KREATIF
2,INOVATIF
0,ALUMNI
KHAS RENDAH,PENDIDIKAN KHAS INOVATIF A
4,4 INOVATIF
2,EFEKTIF
6,6 KREATIF
KELAS,KHAS RENDAH PENDIDIKAN KHAS INOVATIF A
3,INOVATIF
2,2 KREATIF
6,INOVATIF
3,EFEKTIF
6,6 KREATIF A
3,3 INOVATIF
KHAS RENDAH,PENDIDIKAN KHAS PROAKTIF a
1,INOVATIF A
1,KREATIF A
3,EFEKTIF A
KELAS,KHAS RENDAH PENDIDIKAN KHAS EFEKTIF A
PRASEKOLAH,KREATIF
1,KREATIF
