Level,Name
KELAS,KHAS MENENGAH PERTANIAN 2
4,IBNU KHALDUN
1,1 ARIF
2,2 GEMILANG
1,INOVASI
2,FIRUZ
3,INOVASI
1,1 FIKRAH
4,UNISZA
5,TEKNOLOGI 2
3,JUARA
5,5 UTM
TINGKATAN,ENAM RENDAH PENGAJIAN PERNIAGAAN
4,PMK
5,5 UUM
1,BESTARI
1,KRISTAL
3,BESTARI
5,5 SAINS
1,1 BESTARI
5,5 KAA
1,AMETIS
3,AMETIS
2,SUKAN
4,4 PRO
4,4 PMK
4,UUM
KELAS,KHAS MENENGAH PERTANIAN 1
2,KAA1
4,TEKNOLOGI
4,AKAUN
TINGKATAN,ENAM ATAS BAHASA MELAYU 1
3,3 SUKAN
4,UKM
1,1 KAA 1
3,3 KAA1
KELAS,KHAS MENENGAH DOBI 1
5,UIA
4,4 USIM
1,1 KAA1
4,IBNU HAZIM
KELAS,KHAS MENENGAH KRAF 1
2,2 KAA 2
4,4 UIA
5,5 UPM
5,5 SK5
2,INOVASI
4,AL GHAZALI
3,3 FIKRAH
2,PRESTIJ
4,4 UKM
2,JUARA
TINGKATAN,ENAM RENDAH SYARIAH
4,4 UM
5,5 UM
2,BESTARI
4,TEKNOLOGI 2
4,AL BUKHARI
1,INTELEK
3,INTELEK
4,USM
4,SAINS
5,TEKNOLOGI 1
TINGKATAN,ENAM ATAS AKAUN
TINGKATAN,ENAM RENDAH BAHASA MELAYU 1
2,AMETIS
2,2 BESTARI
4,AL BIRUNI
3,3 ELIT
4,4 UTHM
1,PRESTIJ
3,PRESTIJ
2,2 SUKAN
4,4 TEKNOLOGI 1
5,SK1
TINGKATAN,ENAM ATAS SYARIAH
4,SK6
1,TEKAD
2,2 CEMERLANG
3,TEKAD
2,KAA2
1,FIKRAH
3,FIKRAH
5,5 SK2
5,SK4
5,5 SK4
5,STEM
test,1
5,SAINS 2
5,UPM
1,ELIT
3,ELIT
4,AR RAZI
4,4 SAINS 1
3,3 GEMILANG
2,DELIMA
4,4 KAA1
1,ARIF
3,ARIF
1,1 ELIT
4,4 SK3
5,KAA
1,KAA2
3,KAA2
4,4 UNISZA
3,3 ARIF
5,5 TEKNOLOGI 1
5,5 UITM
2,INTELEK
5,UMS
KELAS,KHAS MENENGAH MASAKAN 1
5,UITM
5,SK3
5,UPSI
4,UTM
1,DELIMA
3,DELIMA
5,UM
KELAS,KHAS MENENGAH MASAKAN 2
KELAS,KHAS MENENGAH MULTIMEDIA
1,1 KAA 2
1,AMBER
3,AMBER
4,UTHM
5,PRO
5,SK5
KELAS,KHAS MENENGAH ROTI 2
4,4 SK4
2,KAA 2
2,2 KAA 1
5,5 USM
2,TEKAD
2,2 FIKRAH
5,5 UMS
1,GEMILANG
2,FIKRAH
3,GEMILANG
5,UNISZA
3,3 HARMONI
2,ELIT
1,BAIDURI
3,BAIDURI
4,4 SK1
KELAS,KHAS MENENGAH MASAKAN 3
ALUMNI,
1,INTAN
1,1 DINAMIK
3,3 DINAMIK
4,4 SK5
2,ARIF
4,4 UUM
4,SK4
4,STEM
1,KAA 2
4,SK7
4,USIM
KELAS,KHAS MENENGAH PERTANIAN 3
1,DINAMIK
3,DINAMIK
TINGKATAN,ENAM RENDAH BAHASA MELAYU 3
5,5 UNISZA
1,1 KAA2
5,UUM
5,SK2
1,BERLIAN
3,BERLIAN
5,5 SK1
4,4 UTM
5,5 PRO
5,AL FARABI
4,KAA
5,5 UIA
1,ALUMNI
4,4 UITM
2,AMBER
4,UIA
4,UMS
TINGKATAN,ENAM RENDAH BAHASA MELAYU 2
2,2 ARIF
GURU,SEKOLAH
4,UITM
2,2 KAA1
4,SK3
1,JED
4,4 SK2
4,4 USM
4,PRO
2,GEMILANG
5,5 UPSI
3,SUKAN
5,ACCOUNT
5,AL GHAZALI
TINGKATAN,ENAM ATAS BAHASA MELAYU 2
,ALUMNI
1,1 CEMERLANG
2,KAA 1
1,HARMONI
2,BAIDURI
3,HARMONI
5,5 SK3
5,HUMANITY
2,INTAN
3,3 KAA2
1,1 GEMILANG
5,ARTS
5,AL BUKHARI
4,4 AKAUN
KELAS,KHAS MENENGAH DOBI 2
5,USM
5,SAINS
3,3 CEMERLANG
2,DINAMIK
5,AL BIRUNI
3,3 BESTARI
5,IBNU KHALDUN
4,SK5
2,BERLIAN
5,5 AKAUN
5,5 PMK
5,5 UTHM
2,2 DINAMIK
4,SK1
1,KAA 1
5,5 UKM
KELAS,KHAS MENENGAH KRAF 3
5,PMK
2,CEMERLANG
4,4 UPM
2,2 HARMONI
1,FIRUZ
3,FIRUZ
4,4 TEKNOLOGI 2
4,SAINS 2
4,SK2
4,UPM
TINGKATAN,ENAM RENDAH AKAUN
TINGKATAN,ENAM ATAS PENGAJIAN PERNIAGAAN
4,AL FARABI
KELAS,KHAS MENENGAH ROTI 3
5,AR RAZI
KELAS,KHAS MENENGAH KRAF 2
5,AKAUN
5,UKM
2,HARMONI
1,SUKAN
2,2 KAA2
2,2 ELIT
1,CEMERLANG
1,1 HARMONI
3,CEMERLANG
1,KAA1
1,1 SUKAN
2,2 JUARA
3,KAA1
4,ACCOUNT
4,UPSI
4,4 UPSI
4,UM
TINGKATAN,ENAM ATAS BAHASA MELAYU 3
4,4 SAINS 2
4,4 UMS
5,IBNU HAZIM
5,UTM
KELAS,KHAS MENENGAH ROTI 1
4,HUMANITY
1,1 INTELEK
3,3 INTELEK
4,ARTS
5,5TEKNOLOGI 2
5,UTHM
