Level,Name
5,PS 4
KELAS,KHAS MENENGAH ARIF
5,PS 3
PPKI,CEMERLANG
PPKI,BISTARI
5,PS 2
KHAS,MENENGAH ARIF
4,4 FATONAH
2,KREATIF
5,5 FATONAH
1,BESTARI
2,AKSES
4,PERNIAGAAN
4,PS 1
2,HIKMAH
3,3 BESTARI
3,CEKAP
2,EKUITI
4,PS 4
PPKI,ARIF
4,PS 3
1,ALUMNI
2,FATONAH
3,KUALITI
1,PADU
4,PS 2
1,KREATIF
5,5 AMANAH
KHAS,MENENGAH CEMERLANG
3,3 HIKMAH
4,4 CEKAL
KELAS,KHAS MENENGAH DEDIKASI
1,AKSES
4,4 BESTARI
2,AMANAH
3,3 FATONAH
2,CEKAP
3,3 CEKAL
KELAS,KHAS MENENGAH BESTARI
PERALIHAN,PERALIHAN
1,EKUITI
2,KUALITI
1,FATONAH
4,4 HIKMAH
3,3 AMANAH
5,AKAUN
PPKI,ELIT
1,1 HIKMAH
5,STEM
5,5 CEKAL
KHAS,MENENGAH BESTARI
1,AMANAH
3,PADU
1,CEKAP
1,KUALITI
3,KREATIF
5,5 HIKMAH
2,BESTARI
5,PERNIAGAAN
4,AKAUN
3,AKSES
4,STEM
5,PS 1
PPKI,DEDIKASI
KHAS,MENENGAH DEDIKASI
4,4 AMANAH
3,EKUITI
PPKI,BESTARI
2,PADU
