Level,Name
1,E
4,UITM
4,UMT
1,SAPPHIRE
1,UTHM A
4,PEARL
2,DIAMOND
3,JADE
3,UPM
4,EMERALD
5,AMBER
5,CITRINE
5,CRYSTAL
1,UPM A
4,UPSI
5,JADE
5,UPM
3,AGATE
2,CITRINE
3,UMS
3,UUM
4,SAPPHIRE
4,UTM
5,AGATE
1,G
1,L
2,JADE
2,UPM
2,UIA
6,UKM
5,UUM
6,UM
6,DIAMOND
6,TOPAZ
1,DIAMOND
ELITE,2
PRASEKOLAH,ELITE 1
2,UMS
2,UUM
1,TOPAZ
1,C
3,AMBER
1,CITRINE
4,UM
6,JADE
4,UKM
6,UIA
2,USM
6,UPM
4,DIAMOND
6,UTHM
PRA,INTELEK 2
1,JADE
PRA,ELITE 1
4,TOPAZ
6,UMS
6,UUM
1,ALUMNI
3,GARNET
2,AMBER
1,UPSI A
1,UM A
1,UMT A
4,JADE
4,UPM
4,UIA
1,B
5,GARNET
6,USM
4,UTHM
3,RUBY
3,UITM
3,UMT
3,PEARL
1,UITM A
1,D
5,RUBY
5,UITM
5,UMT
4,UMS
3,UPSI
2,GARNET
4,UUM
5,PEARL
PRASEKOLAH,INTELEK 2
6,AMBER
6,CITRINE
1,K
5,UPSI
6,CRYSTAL
3,UTM
2,RUBY
2,UMT
2,UITM
4,USM
1,AMBER
2,PEARL
1,CRYSTAL
5,UTM
1,J
2,UPSI
PRA,INTELEK 1
PRA,ELITE 2
1,F
6,AGATE
kelas,ALUMNI
6,GARNET
1,UIA A
1,UTM A
1,I
1,AGATE
2,UTM
4,AMBER
4,CITRINE
1,GARNET
4,CRYSTAL
0,ALUMNI
3,UM
3,UKM
1,RUBY
1,UITM
1,PEARL
3,EMERALD
5,UM
1,UKM A
4,AGATE
5,UKM
3,TOPAZ
4,GARNET
INTELEK,1
5,EMERALD
PRASEKOLAH,INTELEK 1
PRASEKOLAH,ELITE 2
5,TOPAZ
2,UM
2,UKM
3,SAPPHIRE
1,A
3,UIA
1,UMS A
2,EMERALD
3,UTHM
5,SAPPHIRE
2,TOPAZ
5,UIA
5,UTHM
1,H
2,SAPPHIRE
5,UMS
2,UTHM
6,RUBY
6,UITM
6,UMT
3,USM
6,PEARL
6,EMERALD
3,DIAMOND
INTELEK,2
5,USM
6,UPSI
1,EMERALD
5,DIAMOND
1,USM A
ELITE,1
6,SAPPHIRE
6,UTM
3,CITRINE
1,UUM A
3,CRYSTAL
4,RUBY
