Level,Name
3,NOBLE
6 SEM 3,6 PROGRESSIVE SEM3
6 SEM 2,6 INTERGRITY SEM 2
5,NOBLE
6 SEM 2,6 SYNERGY SEM 2
KHAS MENENGAH,PASTRI 2
1,INTELLIGENT
3,BRILLIANT
6 ATAS,6 INTEGRITY SEM 2
1,EFFICIENT
3,GLORIOUS
KELAS,KHAS MENENGAH BESTARI
5,GLORIOUS
PPKI,PASTRI 2
2,INNOVATIVE
6,ATAS 6 PROGRESSIVE SEM3
KELAS,KHAS MENENGAH JUARA
4,COURTEOUS
T6S2,PROGRESSIVE
1,EARNEST
2,ERUDITE
3,INTELLIGENT
TINGKATAN 4,PJPK 4 INNO/INTELL
3,EFFICIENT
3,SAGACIOUS dup
5,INTELLIGENT
6 ATAS,6 SYNERGY SEM 2
5,EFFICIENT
PPKI,GEMILANG
2,CREATIVE
2,DYNAMIC
KHAM,CERDIK
PPKI,CERDIK
3,EARNEST
KHAS MENENGAH,PASTRI 1
1,SAGACIOUS
5,EARNEST
KELAS,KHAS MENENGAH AMANAH
2,NOBLE
KHAM,EFEKTIF
TINGKATAN,ENAM ATAS 6 OPTIMISTIC SEM3
PPKI,EFEKTIF
PPKI,PASTRI 1
KELAS,KHAS MENENGAH CERDIK
2,BRILLIANT
2,GLORIOUS
4,INNOVATIVE
3,SAGACIOUS
KELAS,KHAS MENENGAH GEMILANG
1,COURTEOUS
TINGKATAN,ENAM RENDAH 6 OPTIMISTIC SEM 1
4,ERUDITE
TINGKATAN,ENAM RENDAH 6 PROGRESSIVE SEM1
2,INTELLIGENT
KHAM,DEDIKASI
PPKI,DEDIKASI
2,EFFICIENT
KHAM,GEMILANG
3,COURTEOUS
KHAS MENENGAH,INOVATIF
4,CREATIVE
4,DYNAMIC
TINGKATAN,ENAM ATAS 6 SYNERGY SEM3
6 SEM 3,6 INTERGRITY SEM 3
5,COURTEOUS
2,EARNEST
4,NOBLE
PERALIHAN,PHARMONY
6 SEM 3,6 SYNERGY SEM3
6 SEM 2,6 OPTIMISTIC SEM 2
5,ERUDITE
4,BRILLIANT
4,GLORIOUS
TINGKATAN,ENAM RENDAH 6 INTEGRITY SEM1
1,INNOVATIVE
6 SEM 2,6 PROGRESSIVE SEM 2
TINGKATAN,ENAM RENDAH 6 SYNERGY SEM1
5,CREATIVE
5,DYNAMIC
KHAM,BESTARI
PPKI,BESTARI
2,SAGACIOUS
1,ERUDITE
KHAM,HARMONI
PPKI,HARMONI
T6S2,INTERGRITY
4,INTELLIGENT
KHAS MENENGAH,JUARA
TINGKATAN,ENAM ATAS 6 INTEGRITY SEM3
6 ATAS,6 OPTIMISTIC SEM 2
PERALIHAN,HARMONY
4,EFFICIENT
6 SEM 3,6 OPTIMISTIC SEM3
KELAS,KHAS MENENGAH HARMONI
1,ALUMNI
3,INNOVATIVE
5,BRILLIANT
5,INNOVATIVE
1,CREATIVE
1,DYNAMIC
3,ERUDITE
2,COURTEOUS
KHAM,INOVATIF
PPKI,INOVATIF
6 ATAS,6 PROGRESSIVE SEM 2
4,EARNEST
1,NOBLE
1,VALOUR
KHAM,AMANAH
PPKI,AMANAH
TINGKATAN,ENAM ATAS 6 PROGRESSIVE SEM3
6,RENDAH 6 PROGRESSIVE SEM1
1,BRILLIANT
KELAS,KHAS MENENGAH PASTRI 1
3,CREATIVE
3,DYNAMIC
1,GLORIOUS
T6S2,OPTIMISTIC
T6S2,SYNERGY
