Level,Name
4,4 AL GHAZALI
1,1 KRISTAL
3,2 KRISTAL
4,AL FARABI
2,FIRUZ
3,JED
1,1 JED
3,3 FIRUZ
2,2 JED
4,AL BIRUNI
2,2 AMBER
2,AMETIS
1,1 MUMTAZ
5,5 AL BUKHARI
5,AL FARABI
1,1 DELIMA
2,2 FIRUZ
3,AMETIS
1,FIRUZ
4,4 AL BIRUNI
1,1 FIRUZ
5,IBNU HAZIM
1,1 INTAN
2,DELIMA
5,5 AL BIRUNI
4,4 IBNU HAZIM
1,1 BAIDURI
5,5 IBNU HAZIM
4,4 AR RAZI
3,FIRUZ
1,AMETIS
1,1 BERLIAN
2,2 AMETIS
4,AL GHAZALI
4,4 IBNU KHALDUN
3,DELIMA
2,2 BAIDURI
2,2 DELIMA
4,IBNU KHALDUN
4,AL BUKHARI
2,2 BERLIAN
4,AR RAZI
1,INTAN
2,AMBER
3,3 INTAN
2,BERLIAN
2,INTAN
4,4 AL BUKHARI
5,5 AL GHAZALI
5,AL BIRUNI
1,DELIMA
2,2 INTAN
3,BERLIAN
3,INTAN
1,ALUMNI
3,3 AMETIS
5,5 IBNU KHALDUN
4,4 AL FARABI
5,5 AR RAZI
5,AR RAZI
3,3 DELIMA
2,JED
1,AMBER
1,BERLIAN
1,BAIDURI
2,1 KRISTAL
5,5 AL FARABI
2,BAIDURI
1,KRISTAL
1,MUMTAZ
3,AMBER
4,IBNU HAZIM
5,AL GHAZALI
3,BAIDURI
3,3 BERLIAN
2,2 KRISTAL
3,3 BAIDURI
1,1 AMBER
1,1 AMETIS
1,JED
5,IBNU KHALDUN
5,AL BUKHARI
3,3 JED
3,3 AMBER
