Level,Name
KELAS,KHAS MENENGAH PK1A
3,3 EHSAN
KHAS MENENGAH,PK4A
5,AL FARABI
3,3 HARAPAN
KHAS,MENENGAH PK4A
KHAS MENENGAH,PK9A
4,ARIF
2,EHSAN
2,BIJAK
1,ATLET
3,ELIT
4,KREATIF
5,CERDAS
3,3 GIGIH
PPKI,PK2A
3,3 QUALITY
3,AMIR
3,PANDAI
4,IBNU SINA
KHAS,MENENGAH PK6A
5,ELIT
2,2 JUJUR
1,1 QUALITY
3,OPTIMIS
5,5 AL FARABI
5,5 FIRDAWSI
3,3 FIKRAH
5,OPTIMIS
5,AL JAZARI
4,4 AL FARAZI
3,HARMONI
5,LUHUR
KHAS,MENENGAH PK7A
2,QUALITY
KHAS MENENGAH,PK1A
KHAS MENENGAH,PK7A
1,FIKRAH
3,ATLET
5,FATHANAH
1,CERDAS
2,GIGIH
5,IBNU KHALDUN
KELAS,KHAS MENENGAH PK5A
PPKI,PK6A
1,1 BESTARI
5,HARMONI
1,1 DINAMIK
1,AMANAH
3,3 PROGRESIF
5,ATLET
4,4 AR RAZI
2,ILTIZAM
2,DEDIKASI
KHAS,MENENGAH PK1A
3,3 KREATIF
4,JUJUR
PPKI,PK8A
5,KREATIF
1,1 MOTIVASI
3,HARAPAN
1,1 JUJUR
4,4 AL BIRUNI
KHAS,MENENGAH PK2A
1,1 EHSAN
2,2 CERDAS
1,MOTIVASI
2,NADI
1,LUHUR
4,FIRDAWSI
1,INOVASI
3,FIKRAH
PPKI,PK5A
1,FATHANAH
2,MESRA
3,CERDAS
5,5 IBNU TAIMIYYAH
1,BESTARI
2,NURANI
5,5 AL FARAZI
1,HARMONI
2,2 MOTIVASI
3,AMANAH
4,4 AL RAZI
4,BIJAK
5,5 AL ZAHRAWI
4,AL KINDI
5,AL BUKHARI
PPKI,PK4A
5,AMANAH
1,ARIF
3,3 DINAMIK
1,KREATIF
2,2 KREATIF
4,4 AL JAZARI
PPKI,PK9A
5,5 AR RAZI
1,1 LUHUR
2,ELIT
KHAS MENENGAH,PK10A
3,MOTIVASI
3,LUHUR
4,4 IBNU KHALDUN
3,INOVASI
1,HARAPAN
2,AMIR
2,PANDAI
3,FATHANAH
4,4 AL BUKHARI
5,AL ZAHRAWI
3,BESTARI
KHAS,MENENGAH PK9A
2,OPTIMIS
5,AL RAZI
5,INOVASI
1,1 OPTIMIS
3,3 CERDAS
5,IBNU TAIMIYYAH
KHAS,MENENGAH PK14A
4,GIGIH
4,4 AZ ZAHRAWI
3,3 MOTIVASI
5,AL MU'TADHID
3,ARIF
KHAS MENENGAH,PK13A
2,2 DINAMIK
3,KREATIF
2,HARMONI
4,4 IBNU SINA
2,2 HARAPAN
5,AR RAZI
2,2 NURANI
PPKI,PK1A
2,ATLET
PPKI,PK7A
4,DEDIKASI
5,ARIF
4,AL FARAZI
3,3 LUHUR
5,AL KINDI
PPKI,PK13A
2,2 ARIF
1,JUJUR
5,IBNU SINA
1,1 ARIF
2,2 BESTARI
4,NADI
2,HARAPAN
5,5 AL KINDI
2,2 EHSAN
4,MESRA
KELAS,KHAS MENENGAH PK2A
KHAS MENENGAH,PK3A
1,1 HARAPAN
1,DINAMIK
4,AL FARABI
1,1 CERDAS
2,FIKRAH
2,CERDAS
KELAS,KHAS MENENGAH PK8A
1,1 KREATIF
5,5 IBNU KHALDUN
KHAS,MENENGAH PK3A
KHAS,MENENGAH PK11A
2,2 QUALITY
1,EHSAN
1,BIJAK
2,AMANAH
5,5 AL BUKHARI
1,1 ILTIZAM
5,GIGIH
3,JUJUR
KHAS,MENENGAH PK5A
4,ELIT
1,1 PROGRESIF
4,AL BIRUNI
5,5 IBNU SINA
4,PANDAI
5,JUJUR
KHAS,MENENGAH PK10A
3,3 ILTIZAM
4,AL KHAWARIZMI
4,OPTIMIS
5,AZ ZAHRAWI
3,DINAMIK
2,MOTIVASI
4,AL JAZARI
KHAS,MENENGAH PK8A
2,LUHUR
PPKI,PK10A
2,INOVASI
4,4 AL MU'TADHID
2,FATHANAH
4,4 IBNU TAIMIYYAH
5,5 AL MU'TADHID
5,FIRDAWSI
KHAS MENENGAH,PK11A
2,BESTARI
3,3 JUJUR
4,IBNU KHALDUN
1,PROGRESIF
1,QUALITY
2,2 FIKRAH
3,EHSAN
3,BIJAK
5,5 AL BIRUNI
3,3 NURANI
4,HARMONI
1,GIGIH
3,3 OPTIMIS
5,MESRA
KHAS MENENGAH,PK2A
4,ATLET
PPKI,PK14A
3,3 ARIF
4,4 AL MUTADHID
PPKI,PK11A
5,AL MUTA'DHID
2,2 ILTIZAM
2,ARIF
5,BIJAK
2,KREATIF
1,ILTIZAM
4,4 AL KHAWARIZMI
1,DEDIKASI
4,AL MUT'ADHID
5,5 AZ ZAHRAWI
5,5 AL KHAWARIZMI
3,3 BESTARI
KELAS,KHAS MENENGAH PK7A
1,ALUMNI
5,AL BIRUNI
2,2 OPTIMIS
1,NADI
5,PANDAI
KHAS MENENGAH,PK6A
2,2 GIGIH
1,MESRA
1,1 GIGIH
3,GIGIH
5,AL KHAWARIZMI
1,NURANI
KHAS MENENGAH,PK12A
KHAS,MENENGAH PK12A
4,CERDAS
4,4 AL ZAHRAWI
4,4 AL KINDI
PPKI,PK3A
KHAS,MENENGAH PK13A
4,AL BUKHARI
1,1 NURANI
3,ILTIZAM
4,AMANAH
3,DEDIKASI
2,2 PROGRESIF
KELAS,KHAS MENENGAH PK10A
KELAS,KHAS MENENGAH PK9A
KHAS MENENGAH,PK8A
4,AL GHAZALI
PPKI,PK12A
5,5 AL RAZI
4,4 FIRDAWSI
5,DEDIKASI
4,QANAAH
1,ELIT
4,4 AL FARABI
2,JUJUR
5,AL FARAZI
4,AL ZAHRAWI
3,NADI
1,1 FIKRAH
KHAS MENENGAH,PK5A
1,AMIR
1,PANDAI
3,MESRA
4,AL RAZI
5,5 AL JAZARI
4,LUHUR
3,NURANI
4,INOVASI
2,2 LUHUR
1,OPTIMIS
4,FATHANAH
5,NADI
4,IBNU TAIMIYYAH
2,DINAMIK
