Level,Name
4,AZALEA
PPKI,DAHLIA
2,ALYSSUM
3,ALYSSUM
KELAS,KHAS MENENGAH ANGGERIK
1,ALAMANDA
2,AZALEA
KHAS,MENENGAH BAKAWALI
1,ALUMNI
5,PN1
KELAS,KHAS MENENGAH HELICONIA
2,AMARANTH
3,AZALEA
4,TSW
PPKI,JASMINE
4,PSV2
KHAS,MENENGAH CEMPAKA
3,AMARANTH
2,ASTER
PPKI,HELICONIA
4,PSV1
1,AMARILIS
1,ADENIUM
5,PSV3
KHAS,MENENGAH ANGGERIK
3,ASTER
KHAS,MENENGAH GRANIUM
5,PN2
KHAS,MENENGAH EXORA
PPKI,CEMPAKA
4,SAINS
KELAS,ALUMNI
2,ALAMANDA
5,TSW
KELAS,KHAS MENENGAH DAHLIA
KHAS,MENENGAH IRIS
KHAS,MENENGAH DAHLIA
3,ALAMANDA
1,ALYSSUM
5,PSV2
PPKI,EXORA
2,AMARILIS
5,PSV1
KELAS,KHAS MENENGAH BAKAWALI
1,AMARANTH
1,AZALEA
2,ADENIUM
4,PN1
KHAS,MENENGAH FRESIA
1,ASTER
3,ADENIUM
3,AMARILIS
KHAS,MENENGAH HELICONIA
PPKI,FRESIA
PPKI,GRANIUM
PPKI,BAKAWALI
5,SAINS
PPKI,IRIS
4,PN2
PPKI,ANGGERIK
