Level,Name
3,CENDANA
3,ANGSANA
4,BIDARA
5,DELIMA
4,BITARA
4,GEMILANG
4,DINAMIK
2,KERANJI
5,EFEKTIF
1,JATI
3,CENDEKIA
1,RK MUTIARA
5,CENDANA
2,DELIMA
5,ANGSANA
5,MERANTI
4,KERANJI
1,BIDARA
2,EFEKTIF
1,BITARA
1,ALUMNI
1,GEMILANG
1,DINAMIK
2,CENDANA
3,ASPIRASI
3,FUTURIS
4,DELIMA
5,CENDEKIA
2,MERANTI
4,EFEKTIF
5,FUTURIS
2,ANGSANA
4,CENDANA
1,KERANJI
2,CENDEKIA
5,ASPIRASI
4,MERANTI
4,ANGSANA
1,DELIMA
4,CENDEKIA
1,EFEKTIF
2,ASPIRASI
2,FUTURIS
3,JATI
3,RK MUTIARA
1,CENDANA
4,ASPIRASI
4,FUTURIS
1,ANGSANA
5,JATI
3,BIDARA
1,CENDEKIA
3,BITARA
3,GEMILANG
3,DINAMIK
3,EFEKTIF
2,JATI
5,BITARA
1,ASPIRASI
1,FUTURIS
2,RK MUTIARA
5,BIDARA
3,KERANJI
5,DINAMIK
5,GEMILANG
4,JATI
3,DELIMA
5,KERANJI
2,BIDARA
2,BITARA
2,GEMILANG
2,DINAMIK
