Level,Name
6,RENDAH 6BK1B
6,RENDAH 6BK4B
4,FIRUZ
5,DELIMA
3,DELIMA
6,RENDAH 6BK5B
2,BERLIAN
1,FIRUZ
6 SEM 2,BK 3A
6,ATAS 6BK5A
6,ATAS 6BK4A
4,INTAN
3,JAUHAR
5,ZAMRUD
6 ATAS,6BK4A
1,INTAN
6,ATAS 6BK3A
3,ZAMRUD
6,RENDAH 6BK3B
6 SEM 3,6 BK 1A (2024)
TINGKATAN,ENAM RENDAH 6BK5B
6 SEM 3,6 BK 4A (2024)
4,BAIDURI
6 ATAS,6BK3A
5,BERLIAN
2,FIRUZ
5,NILAM
1,BAIDURI
6 SEM 3,6 BK 2A (2024)
3,BERLIAN
6 ATAS,6BK1A
4,DELIMA
2,INTAN
6 ATAS,6BK2A
TINGKATAN,ENAM RENDAH 6BK3B
6 ATAS,6BK5A
1,DELIMA
4,JAUHAR
1,JAUHAR
TINGKATAN,ENAM ATAS 6BK1A
TINGKATAN,ENAM ATAS 6BK4A
6 SEM 2,BK 4A
6 SEM 3,6 BK 5A (2024)
4,ZAMRUD
1,ZAMRUD
2,BAIDURI
5,FIRUZ
TINGKATAN,ENAM RENDAH 6BK4B
3,FIRUZ
5,INTAN
6,RENDAH 6BK2B
TINGKATAN,ENAM ATAS 6BK5A
2,DELIMA
TINGKATAN,ENAM ATAS 6BK2A
3,INTAN
4,BERLIAN
6,ATAS 6BK1A
1,ALUMNI
6 SEM 2,BK 1A
6 SEM 2,BK 5A
2,JAUHAR
4,NILAM
1,BERLIAN
6 SEM 3,6 BK 3A (2024)
5,BAIDURI
2,ZAMRUD
6 SEM 2,BK 2A
3,BAIDURI
6,ATAS 6BK2A
TINGKATAN,ENAM ATAS 6BK3A
