Level,Name
5,AMINUDDIN BAKI
1,RAHIM KAJAI
1,AMARILIS
5,ASTER
4,RAHIM KAJAI
5,UNGKU OMAR
1,BURHANUDDIN AL-HELMY
5,ALAMANDA
PPKI,PK2
PPKI,PK3
3,ALLIUM
3,TUN DR ISMAIL
2,AKASIA
4,ASTER
2,AZALEA
4,UNGKU OMAR
4,ALAMANDA
KHAS MENENGAH,PK1
1,AMINUDDIN BAKI
5,TUN DR ISMAIL
4,ADENIUM
PPKI,PK4
1,ASTER
5,ALLIUM
3,AKASIA
1,ALAMANDA
3,ALAMANDA
KHAS MENENGAH,PK2
2,RAHIM KAJAI
2,AMARILIS
3,AZALEA
4,AMARILIS
2,BURHANUDDIN AL-HELMY
3,IBRAHIM YAAKOB
KHAS MENENGAH,PK3
4,ALLIUM
5,AKASIA
5,BURHANUDDIN ALHELMY
KHAS,MENENGAH PK2
1,TUN DR ISMAIL
3,RAHIM KAJAI
1,ALLIUM
3,AMARILIS
2,ASTER
5,AZALEA
3,BURHANUDDIN AL-HELMY
5,IBRAHIM YAAKOB
KHAS MENENGAH,PK4
4,AKASIA
PPKI,PK1
1,ALUMNI
2,UNGKU OMAR
4,AZALEA
2,ALAMANDA
5,AMARILIS
1,AKASIA
5,RAHIM KAJAI
3,ASTER
3,AMINUDDIN BAKI
2,MUNSYI IBRAHIM
1,IBRAHIM YAAKOB
1,AZALEA
3,UNGKU OMAR
2,ALLIUM
KHAS,MENENGAH PK1
2,TUN DR ISMAIL
3,ADENIUM
