Level,Name
4,DEDIKASI
4,4 TAAT
4,TAAT
3,AMANAH
2,2 BIJAKSANA
5,BIJAKSANA
1,AMANAH
5,TAAT
1,1 DEDIKASI
2,2 AMANAH
4,BIJAKSANA
2,USAHA
3,3 TAAT
3,USAHA
5,5 AMANAH
5,5 DEDIKASI
4,4 USAHA
4,4 CEKAL
1,USAHA
5,5 BIJAKSANA
3,3 CEKAL
5,AMANAH
4,AMANAH
1,ALUMNI
2,CEKAL
4,USAHA
2,DEDIKASI
5,5 CEKAL
2,2 DEDIKASI
1,1 AMANAH
5,5 TAAT
5,5 USAHA
5,USAHA
3,CEKAL
3,DEDIKASI
1,CEKAL
2,TAAT
2,2 CEKAL
1,1 CEKAL
3,3 DEDIKASI
4,4 AMANAH
1,DEDIKASI
2,BIJAKSANA
3,3 BIJAKSANA
3,TAAT
3,BIJAKSANA
1,TAAT
1,1 BIJAKSANA
1,BIJAKSANA
3,3 AMANAH
4,4 BIJAKSANA
4,4 DEDIKASI
5,CEKAL
4,CEKAL
3,3 USAHA
5,DEDIKASI
2,AMANAH
