Level,Name
5,AQIL
3,ABQARI 1
3,3 ARIF
2,ARIF
1,ABQARI 1
2,2 ABQARI 1
5,AFHAM
PERALIHAN,PERALIHAN
4,AFHAM
3,3 AFHAM
3,3 ABQARI 1
6 ATAS,6 USM
KHAS,MENENGAH P. KHAS B
2,2 AQIL
6,ATAS 6 UPM
4,ADIB
5,5 AFHAM
5,AMIN
4,4 ARIF
2,ABQARI 1
6 ATAS,6 UKM
5,ALIM
4,ALIM
6,ATAS 6 USM
PPKI,P. KHAS A
PPKI,P. KHAS B
KHAS,MENENGAH P. KHAS D
5,ARIF
5,5 ADIB
3,3 ABQARI 2
2,2 ABQARI 2
4,ARIF
KHAS MENENGAH,P. KHAS D
2,2 ARIF
2,AQIL
5,5 ALIM
2,2 ALIM
1,1 AFHAM
3,AQIL
5,ADIB
PPKI,P. KHAS E
1,AQIL
5,5 AMIN
PPKI,P. KHAS C
3,AFHAM
1,AFHAM
6 SEM 2,6 UM
4,4 ALIM
6,ATAS 6 UM
3,3 ADIB
1,ABQARI 2
1,1 AMIN
1,1 ARIF
4,4 AFHAM
3,AMIN
2,2 AMIN
PPKI,P. KHAS D
3,3 AMIN
5,5 AQIL
6 SEM 2,6 UPM
1,AMIN
1,1 ABQARI 2
3,3 AQIL
KHAS,MENENGAH P. KHAS A
1,1 ABQARI 1
6,RENDAH 6UM
1,1 ADIB
1,1 AQIL
4,4 AMIN
5,5 ABQARI
2,AFHAM
2,2 ABQARI
3,ALIM
1,1 ALIM
4,AQIL
1,ALIM
6,ATAS 6 UKM
5,4 AQIL
4,4 AQIL
2,ABQARI 2
3,ARIF
1,ARIF
3,ABQARI 2
2,ADIB
KHAS MENENGAH,P. KHAS A
2,AMIN
4,4 ADIB
KHAS MENENGAH,P. KHAS B
3,ADIB
2,2 ADIB
3,3 ABQARI
1,ALUMNI
KHAS,MENENGAH P. KHAS C
1,ADIB
5,5 ARIF
2,2 AFHAM
4,AMIN
3,3 ALIM
6,RENDAH 6UPM
5,ABQARI
KHAS MENENGAH,P. KHAS E
4,4 ABQARI
4,ABQARI
2,ALIM
KHAS MENENGAH,P. KHAS C
