Level,Name
KHAS MENENGAH,3 JAUHARI
KHAS MENENGAH,2 JAUHARI
4,4 WAWASAN
5,WAWASAN
6 SEM 2,PU2P
4,INTELEK
6 ATAS,PU2B
6 SEM 2,PU2B
3,3 PINTAR
4,4 PINTAR
1,ALUMNI
2,PINTAR
3,PINTAR
1,BESTARI
3,3 INTELEK
PPKI,PK INTELEK
4,4 INTELEK
3,INTELEK
2,INTELEK
3,3 BESTARI
1,WAWASAN
5,5 INTELEK
5,PINTAR
1,CERDAS
PPKI,PK JAUHARI
5,5 WAWASAN
1,1 BESTARI
5,INTELEK
4,BESTARI
5,5 PINTAR
2,2 CERDAS
1,1 INTELEK
6,SEM 2 PU2I
3,3 WAWASAN
6 ATAS,PU2H
6 ATAS,PU2I
1,1 WAWASAN
6 SEM 2,PU2I
2,2 INTELEK
6 SEM 2,PU2H
6,SEM 2 PU2H
1,PINTAR
6,SEM 2 PU2W
3,3 CERDAS
1,1 PINTAR
4,WAWASAN
6 SEM 2,PU2C
3,BESTARI
2,BESTARI
1,INTELEK
6,SEM 2 PU2P
2,2 WAWASAN
5,5 BESTARI
6 ATAS,PU2C
2,WAWASAN
1,1 CERDAS
2,2 BESTARI
3,WAWASAN
2,CERDAS
6,SEM 2 PU2B
6,SEM 2 PU2C
6 ATAS,PU2W
3,CERDAS
5,BESTARI
6 ATAS,PU2P
4,PINTAR
KHAS MENENGAH,1 JAUHARI
4,4 BESTARI
KHAS MENENGAH,4 JAUHARI
6 SEM 2,PU2W
PPKI,PK BESTARI
PPKI,PK WAWASAN
2,2 PINTAR
