Level,Name
1,1 UUM
4,UITM
4,4 SIANTAN
3,3 TERATAI
2,UTHM
4,4 MAWAR
4,UM
5,UKM
2,2 UPSI
4,UIA
1,UUM
1,1 MELATI
3,3 USM
1,UM
3,3 SIANTAN
4,4 TANJUNG
4,4 DAHLIA
1,USM
6 SEM 3,6A2 UKM
5,UPSI
1,UPM
1,1 UTHM
3,3 UUM
3,3 MAWAR
2,UKM
6 SEM 2,6B UKM
5,UUM
2,2 KEKWA
3,UUM
1,1 MAWAR
1,1 MELUR
6 SEM 2,6B UTM
2,2 UTM
4,4 UUM
5,USM
2,2 KEMBOJA
5,5 UPSI
2,UPSI
3,USM
1,1 UPSI
1,1 UM
5,UTM
2,2 TERATAI
3,UPM
4,4 UIA
3,3 KEKWA
6 SEM 2,6B USM
1,ALUMNI
4,4 KENANGA
1,1 UKM
2,UUM
1,UITM
6,SEM 3 6A4 UPM
6 ATAS,6A1 (MAWAR)
1,1 UTM
3,3 DAHLIA
1,1 SIANTAN
3,3 MELUR
2,2 UITM
5,5 UM
1,UIA
4,UKM
6,SEM 2 6B UPM
2,UTM
2,2 MELATI
5,5 UTM
5,5 MELATI
4,UPSI
4,4 UITM
3,UITM
4,4 KEKWA
1,1 TERATAI
6,SEM 2 6B USM
5,UM
3,3 UPSI
3,UM
5,UIA
3,3 UPM
3,UIA
3,3 KENANGA
1,1 KEMBOJA
5,5 TERATAI
5,UPM
3,3 KEMBOJA
2,2 USM
2,2 TANJUNG
6 SEM 3,6A5 UTM
2,2 MAWAR
1,1 UPM
6 SEM 2,6B UPM
4,UTM
3,3 UIA
4,4 MELUR
2,UM
4,4 MELATI
2,USM
6 SEM 3,6A4 UPM
1,1 DAHLIA
5,5 SIANTAN
2,UPM
1,1 UIA
5,5 MELUR
6 ATAS,6A3 (MELATI)
1,UKM
3,3 UTHM
3,3 UITM
5,UITM
5,5 DAHLIA
6 ATAS,6A5 (TANJUNG)
1,1 TANJUNG
6,SEM 2 6B UTM
1,1 KENANGA
3,3 UKM
2,2 SIANTAN
1,UPSI
5,5 MAWAR
6 SEM 3,6A1 UM
2,2 DAHLIA
6 ATAS,6A4 (TERATAI)
4,UUM
5,5 TANJUNG
2,2 UPM
3,3 MELATI
3,UKM
1,UTHM
2,2 UIA
4,4 TERATAI
4,USM
2,UITM
6 SEM 3,6A3 USM
4,UPM
6,SEM 2 6B UKM
6 SEM 2,6B UM
2,UIA
1,UTM
3,UPSI
4,4 UPSI
1,1 KEKWA
3,3 TANJUNG
1,1 UITM
2,2 MELUR
5,5 KEKWA
6,SEM 2 6B UM
5,5 KENANGA
3,UTHM
1,1 USM
2,2 KENANGA
4,4 USM
6 ATAS,6A2 (MELUR)
3,3 UTM
3,UTM
