Level,Name
2,AKASIA
1,1 ADENIUM
4,4 MERBAU
2,IXORA
2,2 IXORA
4,ROSEWOOD
2,IRIS
2,DANDELION
3,3 IRIS
1,1 DANDELION
4,MELAWIS
1,LAVENDER
5,5 JATI
4,SERAYA
PERALIHAN,POMELIA
4,4 MERANTI
2,2 AKASIA
2,2 CARNATION
5,5 BALAU
1,CAMELLIA
2,AZALEA
3,3 DAISY
3,DAISY
5,5 ROSEWOOD
1,TULIP
PPKI,PK KENANGA
4,4 CENDANA
4,4 ROSEWOOD
4,EBONI
3,3 ALLAMANDA
5,MERBAU
1,ADENIUM
4,BALAU
1,1 IXORA
5,5 MERANTI
3,3 DANDELION
1,ALLAMANDA
4,JATI
3,AZALEA
4,CENDANA
2,2 AZALEA
2,DAISY
1,1 LAVENDER
1,1 IRIS
2,CARNATION
PPKI,PK KENCANA
2,2 GERANIUM
5,MERANTI
2,CAMELLIA
2,2 IRIS
2,GERANIUM
1,1 TERATAI
1,AKASIA
1,IXORA
1,1 TULIP
1,IRIS
1,DANDELION
4,4 JATI
4,4 BALAU
PPKI,PK KEMBOJA
4,4 MELAWIS
2,2 CAMELLIA
3,CAMELLIA
3,GERANIUM
5,5 CENDANA
5,ROSEWOOD
3,3 IXORA
2,LAVENDER
3,3 AZALEA
5,MELAWIS
4,4 SERAYA
2,2 LAVENDER
1,1 AKASIA
1,AZALEA
5,5 SERAYA
3,3 AKASIA
5,SERAYA
3,ALLAMANDA
4,CHERRYWOOD
1,1 GERANIUM
2,2 ALLAMANDA
4,EBONY
4,MERBAU
1,1 ALLAMANDA
3,LAVENDER
2,2 DANDELION
5,5 MERBAU
PPKI,PK KASTURI
5,EBONI
3,3 CAMELLIA
4,4 EBONY
2,ALLAMANDA
5,BALAU
4,4 CHERRYWOOD
1,DAISY
1,1 CAMELLIA
3,3 LAVENDER
5,JATI
3,AKASIA
1,CARNATION
3,IXORA
5,CENDANA
1,1 DAISY
1,ALUMNI
4,MERANTI
1,1 AZALEA
3,IRIS
3,DANDELION
1,GERANIUM
1,1 CARNATION
2,2 DAISY
5,5 EBONI
