Level,Name
6,6 UPSI
4,UPSI
3,UPM
5,UM
2,2UPM
3,UKM
3,3UKM
3,3 UPSI
4,4 UM
1,1 UPM
4,4 UPM
5,5 UPM
5,5UPM
6,6UPM
1,1UM
5,UPM
5,UKM
3,UPSI
3,3UPM
3,3 UKM
1,UPM
PRASEKOLAH,TUNAS ILHAM 3
2,2 UPSI
5,5 UPSI
5,5 UKM
1,UKM
6,6UM
3,3UPSI
3,3 UM
1,UM
4,4UM
2,UPSI
4,UM
6,6UKM
1,1 UPSI
5,5UKM
1,1UPM
3,3UM
6,UPM
1,1UPSI
2,2UM
3,2 UPSI
4,4 UPSI
5,UPSI
1,1UKM
6,6 UPM
6,UKM
6,UM
4,4UPSI
5,5UPSI
4,4UKM
4,UPM
2,2UKM
2,2 UM
6,6 UM
4,UKM
3,3 UPM
6,6 UKM
5,5UM
PRASEKOLAH,TUNAS ILHAM 1
PRASEKOLAH,TUNAS ILHAM 2
2,2 UPM
1,1 UKM
5,5 UM
3,UM
6,UPSI
4,4 UKM
2,UPM
1,ALUMNI
6,6UPSI
2,2UPSI
2,UKM
4,4UPM
1,UPSI
2,UM
1,1 UM
2,2 UKM
