Level,Name
2,2 AL FARABI
2,2 IBNU SINA
5,5 IBNU KHALDUN
2,AL FARABI
3,3 AL-FARABI
5,AL-FARABI
3,3 IBNU SINA
5,5 AL-FARABI
4,IBNU BAITULLAH
1,ALUMNI
1,IBNU KHALDUN
2,2 IBNU KHALDUN
4,4 IBNU BAITULLAH
2,2 AL-FARABI
4,IBNU SINA
5,5 IBNU SINA
2,2 IBNU BAITULLAH
2,IBNU BAITULAH
1,1 IBNU KHALDUN
5,5 IBNU BAITULLAH
3,IBNU BAITULLAH
2,IBNU SINA
3,IBNU SINA
1,1 AL-FARABI
4,IBNU KHALDUN
1,1 IBNU SINA
1,AL FARABI
5,IBNU BAITULLAH
5,IBNU SINA
2,IBNU KHALDUN
4,AL-FARABI
1,1 IBNU BAITULLAH
3,IBNU KHALDUN
4,4 AL-FARABI
1,IBNU BAITULLAH
3,3 IBNU BAITULLAH
1,IBNU SINA
1,1 AL FARABI
3,AL-FARABI
2,2 IBNU BAITULAH
4,4 IBNU KHALDUN
4,4 IBNU SINA
5,IBNU KHALDUN
3,3 IBNU KHALDUN
