Level,Name
5,5 MUSYTARI
4,4 ZUHAL
2,UTARID
1,1 UTARID
KHAS MENENGAH,URANUS 1 (KVS)
1,1 MUSYTARI
2,ZUHRAH
1,1 ZUHRAH
2,2 ZUHRAH
3,UTARID
5,MARIKH
4,4 ZUHRAH
4,MARIKH
1,UTARID
1,1 ELIT
3,ZUHRAH
1,ZUHRAH
PPKI,URANUS 4 (KR)
PPKI,URANUS 3
5,ZUHAL
4,ZUHAL
KHAS MENENGAH,URANUS 4 (KR)
2,MUSYTARI
1,ALUMNI
5,UTARID
4,UTARID
5,5 ZUHAL
5,ZUHRAH
1,MUSYTARI
2,2 ELIT
3,3 ELIT
4,4 MARIKH
2,2 UTARID
4,ZUHRAH
5,5 MARIKH
1,1 MARIKH
4,4 UTARID
PPKI,URANUS 2
2,2 MARIKH
5,5 UTARID
2,ELIT
5,5 ZUHRAH
PPKI,URANUS 1
2,2 MUSYTARI
3,3 UTARID
3,3 MUSYTARI
3,ELIT
2,MARIKH
5,MUSYTARI
PPKI,URANUS 4
4,MUSYTARI
PPKI,URANUS 3 (KR)
3,3 MARIKH
KHAS MENENGAH,URANUS 2 (KAV)
PPKI,URANUS 2 (KAV)
1,ELIT
4,4 MUSYTARI
KHAS MENENGAH,URANUS 3 (KR)
3,3 ZUHRAH
3,MARIKH
1,MARIKH
PPKI,URANUS 1 (KVS)
