Level,Name
5,KURINJI
6,THAMARAI
3,ALLI
6,6 ALLI
6,ALLI
3,3 KURINJI
PRASEKOLAH,KANAGAM
KHAS RENDAH,PENDIDIKAN KHAS 1
PRASEKOLAH,SENBAGAM
1,MALLIGAI
3,KURINJI
KHAS RENDAH,PENDIDIKAN KHAS 2
6,6 KURINJI
5,5 SAMANTHI
6,6 MALLIGAI
6,KURINJI
2,MALLIGAI
1,SAMANTHI
5,5 MALLIGAI
2,SAMANTHI
4,MALLIGAI
6,6 SAMANTHI
4,4 ALLI
2,2 ALLI
4,SAMANTHI
2,THAMARAI
5,5 KURINJI
1,1 MALLIGAI
1,ALLI
2,ALLI
5,5 THAMARAI
5,MALLIGAI
1,1 THAMARAI
2,2 KURINJI
3,3 ALLI
4,4 SAMANTHI
1,ALUMNI
5,SAMANTHI
4,THAMARAI
PRASEKOLAH,ALLI
PPKI,2
3,3 SAMANTHI
4,ALLI
1,KURINJI
2,KURINJI
1,1 KURINJI
5,5 ALLI
3,MALLIGAI
PPKI,PENDIDIKAN KHAS 1
6,MALLIGAI
1,1 ALLI
2,2 MALLIGAI
PPKI,1
4,4 KURUNJI
3,SAMANTHI
2,2 SAMANTHI
3,3 THAMARAI
4,KURINJI
5,ALLI
PPKI,PENDIDIKAN KHAS 2
3,3 MALLIGAI
PRASEKOLAH,MULLAI
6,SAMANTHI
4,4 MALLIGAI
1,1 SAMANTHI
