Level,Name
4,AL JABIR
1,AL BATANI
3,3 IBNU KHALDUN
1,1 IBNU SINA
1,1 AL-FARABI
1,1 AL-JABIR
5,AL GHAZALI
KHAS MENENGAH,P.KHAS 2
1,IBNU SINA
KHAS MENENGAH,P.KHAS 5
KHAS MENENGAH,P.KHAS 1
5,5 AL-JABIR
1,1 AL-GHAZALI
1,1 AL FARABI
2,AL JABIR
2,IBNU KHALDUN
3,AL BATANI
5,5 AL-RADZI
5,5 AL GHAZALI
5,5 AL-ZAHRAWI
3,3 AL GHAZALI
4,4 AR RADZI
KHAS MENENGAH,P.KHAS 7
5,AL-RADZI
4,4 AL JABIR
2,AL FARABI
3,3 AL-FARABI
5,IBNU KHALDUN
4,AL BATANI
3,3 AL-JABIR
5,5 IBNU SINA
2,2 AL JABIR
2,2 AL-GHAZALI
4,AR RADZI
5,5 IBNU KHALDUN
4,IBNU SINA
2,2 IBNU KHALDUN
4,4 AL-BATTANI
PPKI,P.KHAS 3
4,4 AL BATANI
1,1 AL GHAZALI
1,AL GHAZALI
4,4 AL GHAZALI
KHAS MENENGAH,P.KHAS 3
1,ALUMNI
PERALIHAN,PERALIHAN
3,IBNU SINA
5,AL JABIR
3,3 AL FARABI
2,2 IBNU SINA
3,3 IBNU SINA
5,5 AL-BATTANI
4,4 AL-JABIR
4,4 IBNU SINA
3,3 AL-ZAHRAWI
1,IBNU KHALDUN
4,4 AL FARABI
4,AL GHAZALI
2,AL BATANI
1,AL FARABI
4,4 AL-ZAHRAWI
4,4 AL-RADZI
4,4 IBNU KHALDUN
2,IBNU SINA
2,2 AL FARABI
5,AL BATANI
5,5 AL BATANI
2,2 AL GHAZALI
1,1 AL-BATTANI
1,1 AL JABIR
2,2 AL-JABIR
1,1 AL-ZAHRAWI
5,IBNU SINA
2,2 AL-ZAHRAWI
KHAS MENENGAH,P.KHAS 6
4,IBNU KHALDUN
3,AL GHAZALI
1,AL JABIR
2,2 AL BATANI
4,4 AL-GHAZALI
4,AL FARABI
5,5 AL-FARABI
PPKI,P.KHAS 4
1,1 IBNU KHALDUN
3,3 AL-BATTANI
3,3 AL BATANI
2,2 AL-BATTANI
2,2 AL-FARABI
3,AL JABIR
KHAS MENENGAH,P.KHAS 4
3,3 AL-GHAZALI
3,IBNU KHALDUN
PPKI,P.KHAS 6
5,5 AL JABIR
3,3 AL JABIR
2,AL GHAZALI
PPKI,P.KHAS 2
PPKI,P.KHAS 5
1,1 AL BATANI
3,AL FARABI
PPKI,P.KHAS 1
