Level,Name
PPKI,KAV 1
1,1 BESTARI
3,BESTARI
PPKI,KAV 3
1,BESTARI
1,AMANAH
1,1 GIGIH
5,5 GIGIH
1,1 FANTASTIK
5,5 DEDIKASI
PPKI,KAV 4
PPKI,KR 2
KHAS MENENGAH,KR 5
5,FANTASTIK
3,PERMATA
1,PERMATA
6 SEM 3,PRA U ATAS
KHAS MENENGAH,KR 4
1,1 EFEKTIF
2,2 HARMONI
4,4 AMANAH
PPKI,KR 6
KHAS MENENGAH,SKM 3
5,5 EFEKTIF
6 ATAS,PRA U BAWAH
5,EFEKTIF
KHAS MENENGAH,SKM 2
4,EFEKTIF
3,GIGIH
PPKI,KAV 2
2,BESTARI
2,2 PERMATA
3,HARMONI
5,DEDIKASI
2,AMANAH
1,GIGIH
4,DEDIKASI
3,CERGAS
1,HARMONI
KHAS MENENGAH,KR 3
5,5 HARMONI
1,CERGAS
3,AMANAH
KHAS MENENGAH,KR 1
1,FANTASTIK
4,4 HARMONI
1,1 DEDIKASI
4,4 CERGAS
3,3 GIGIH
1,1 HARMONI
5,5 BESTARI
PERALIHAN,ASASI 1
3,3 BESTARI
5,5 FANTASTIK
2,PERMATA
6 SEM 2,PRA U BAWAH
2,2 DEDIKASI
4,4 GIGIH
PPKI,KAV 5
2,2 FANTASTIK
3,3 DEDIKASI
2,2 CERGAS
2,GIGIH
PPKI,SKM 1
2,HARMONI
4,4 DEDIKASI
PPKI,KR 3
2,CERGAS
3,3 PERMATA
2,FANTASTIK
KHAS MENENGAH,KAV 1
3,FANTASTIK
KHAS MENENGAH,KAV 3
5,5 AMANAH
5,BESTARI
PPKI,KR 5
4,BESTARI
5,AMANAH
2,2 BESTARI
4,AMANAH
3,3 EFEKTIF
KHAS MENENGAH,KR 2
3,EFEKTIF
3,3 HARMONI
PERALIHAN,ASASI 2
PPKI,KR 4
1,EFEKTIF
3,DEDIKASI
3,3 CERGAS
1,DEDIKASI
PPKI,SKM 2
KHAS MENENGAH,KR 6
KHAS MENENGAH,SKM 4
KHAS MENENGAH,KAV 2
1,1 CERGAS
5,5 CERGAS
PPKI,KR 1
2,2 AMANAH
5,GIGIH
4,GIGIH
5,HARMONI
4,HARMONI
5,CERGAS
4,CERGAS
4,FANTASTIK
1,ALUMNI
2,EFEKTIF
1,1 PERMATA
2,DEDIKASI
1,1 AMANAH
4,4 EFEKTIF
2,2 GIGIH
4,4 FANTASTIK
3,3 FANTASTIK
6,SEM 2 PRA U BAWAH
2,2 EFEKTIF
3,3 AMANAH
KHAS MENENGAH,SKM 1
4,4 BESTARI
