Level,Name
3,3JUJUR
5,JUJUR
3,3TEKUN
5,5PINTAR
4,4TEKUN
1,TEKUN
4,4 JUJUR
1,1 PINTAR
4,JUJUR
6,JUJUR
5,5 TEKUN
5,PINTAR
4,PINTAR
2,2 PINTAR
5,5 JUJUR
3,3 PINTAR
6,PINTAR
4,TEKUN
5,TEKUN
4,4 PINTAR
6,6PINTAR
6,6JUJUR
6,TEKUN
2,2JUJUR
3,3PINTAR
PRASEKOLAH,BIJAK BESTARI
1,ALUMNI
1,1PINTAR
3,3 JUJUR
5,5JUJUR
1,1JUJUR
2,JUJUR
4,4JUJUR
6,6TEKUN
3,JUJUR
4,4 TEKUN
2,2PINTAR
PRASEKOLAH,MUDA BESTARI
5,5 PINTAR
2,PINTAR
1,JUJUR
1,1 JUJUR
2,2 JUJUR
3,PINTAR
1,1 TEKUN
4,4PINTAR
1,PINTAR
2,2TEKUN
6,6 TEKUN
3,TEKUN
1,1TEKUN
5,5TEKUN
