Level,Name
2,USIM
5,PS2
4,KM
1,UKM
4,4PS3
4,PS2
4,4AK
3,USIM
3,3UTHM
1,1UTHM
1,USIM
2,USM
KHAS MENENGAH,IBNU RUSYD
2,2UTHM
5,5PS2
1,1USM
2,UITM
2,UTM
3,UPSI
3,UITM
3,UTHM
5,5PN
1,UPSI
3,UTM
4,STEM C1B
4,STEMC1A
1,UITM
1,UTHM
PPKI,IBNU MAJAH
PPKI,IBNU ABBAS
1,1UPM
2,2USIM
2,2UPM
5,5AK
2,UKM
3,UM
2,2UKM
1,UM
5,5PS1
5,KM
4,4PS2
3,3KKTM
3,3UPSI
4,AJ
5,5KM
2,2UIA
1,1UKM
4,STEM A
5,5PS3
3,KKTM
2,UPSI
1,1UITM
4,STEMA
1,KKTM
2,UTHM
2,2UTM
4,4KM
4,4PS1
5,STEM C1B
KHAS MENENGAH,IBNU KHALDUN
4,AK
5,STEM C1A
4,4STEMA
4,STEM C1A
KHAS MENENGAH,IBNU SINA
3,UPM
1,1UPSI
4,4PN
1,UPM
2,UM
5,PS1
4,PS1
5,STEM B
3,3USM
4,4AJ
PPKI,IBNU RUSYD
1,1USIM
2,KKTM
5,STEM A
1,1UM
4,PS3
5,5STEM C1B
2,2UM
5,5STEM A
2,2UPSI
5,5STEM C1A
1,1KKTM
2,2UITM
PPKI,IBNU SINA
4,STEMC1B
2,UPM
5,AK
KHAS MENENGAH,IBNU MAJAH
KHAS MENENGAH,IBNU ABBAS
2,2USM
3,3UM
4,PN
3,3UPM
5,STEM C
2,2KKTM
5,5 AL JAZARI
5,AL JAZARI
3,3UIA
5,AL-JAZARI
4,AL-JAZARI
3,USM
1,USM
5,PS3
1,ALUMNI
PPKI,IBNU KHALDUN
3,3UTM
1,UTM
3,3USIM
2,UIA
4,4STEMC1B
5,PN
3,UIA
1,1UTM
1,1UIA
1,UIA
3,3UKM
4,4STEMC1A
3,UKM
