Level,Name
6,E
5,D
6,J
4,E
3,G
5,M
4,I
2,L
2,F
6,Q
3,R
1,D
2,K
6,C
5,F
3,L
2,B
2,P
4,C
2,H
5,K
2,M
5,B
3,D
5,I
4,N
5,P
6,G
5,H
4,G
1,L
1,F
4,J
2,A
3,M
6,R
1,K
4,R
5,A
6,L
2,E
1,B
4,Q
1,I
1,P
3,F
1,H
2,I
1,M
6,K
5,N
5,E
6,D
3,K
5,J
3,B
4,D
1,A
3,I
3,P
6,M
3,H
2,C
5,Q
1,ALUMNI
1,E
2,N
5,C
6,F
3,A
3,S
2,G
4,F
4,L
2,J
3,N
3,E
6,B
1,Q
6,I
4,K
5,G
6,P
2,R
3,J
4,B
2,Q
6,H
4,P
1,C
4,H
4,M
3,Q
1,N
6,A
5,L
2,D
1,G
1,J
4,A
3,C
4,S
6,N
