Level,Name
2,UNGU
3,MERAH
1,HIJAU
1,1 UNGU
5,MERAH
6,6 HIJAU
2,2 BIRU
2,MERAH
2,2 GANGSA
1,1 JINGGA
3,3 EMAS
1,UNGU
6,KUNING
3,BIRU
6,6 MERAH
2,2 HIJAU
1,KUNING
3,GANGSA
6,6 JINGGA
5,BIRU
6,MERAH
5,JINGGA
5,GANGSA
2,2 EMAS
6,HIJAU
5,5 KUNING
3,3 JINGGA
1,MERAH
2,BIRU
5,5 MERAH
5,5 EMAS
4,KUNING
1,ALUMNI
2,GANGSA
4,4 HIJAU
3,EMAS
3,3 MERAH
1,1 KUNING
5,EMAS
4,MERAH
6,UNGU
4,HIJAU
5,5 BIRU
1,1 BIRU
6,6 UNGU
6,6 KUNING
1,BIRU
3,JINGGA
1,GANGSA
4,4 KUNING
4,UNGU
5,5 HIJAU
2,2 JINGGA
5,5 UNGU
1,1 EMAS
2,JINGGA
4,4 JINGGA
4,4 UNGU
6,6 GANGSA
6,BIRU
3,KUNING
2,2 KUNING
2,EMAS
3,3 HIJAU
2,2 MERAH
6,JINGGA
6,GANGSA
3,3 BIRU
3,3 KUNING
5,KUNING
4,4 GANGSA
1,JINGGA
3,3 UNGU
1,1 HIJAU
3,HIJAU
2,KUNING
3,3 GANGSA
4,BIRU
5,5 JINGGA
6,6 BIRU
6,EMAS
5,HIJAU
4,JINGGA
4,GANGSA
6,6 EMAS
1,1 MERAH
1,EMAS
5,5 GANGSA
2,HIJAU
3,UNGU
1,1 GANGSA
4,4 BIRU
4,4 MERAH
4,EMAS
5,UNGU
2,2 UNGU
4,4 EMAS
