Level,Name
4,4 ZINK
PPKI,PK MAGNESIUM
6 ATAS,6S2A
2,KALIUM
1,ALUMNI
5,ZINK
5,5 KALIUM
4,NATRIUM
1,1 ZINK
4,4 KALSIUM
3,3 FERUM
5,5 MAGNESIUM
6 SEM 2,6S2B
6,SEM 3 6S3A
1,1 ALUMINIUM
2,FERUM
1,1 MAGNESIUM
5,NATRIUM
2,2 NATRIUM
4,4 ALUMINIUM
4,4 STANUM
3,3 ZINK
2,STANUM
3,3 MAGNESIUM
2,2 STANUM
2,ZINK
2,2 MAGNESIUM
2,2 ZINK
5,STANUM
2,MAGNESIUM
1,1 FERUM
6 SEM 3,6S3A
1,1 NATRIUM
3,KALIUM
2,2 ALUMINIUM
5,ALUMINIUM
4,MAGNESIUM
1,1 KALSIUM
5,KALSIUM
5,MAGNESIUM
6 ATAS,6S2B
2,NATRIUM
PERALIHAN,PERALIHAN
1,1 STANUM
4,4 MAGNESIUM
3,FERUM
6 SEM 3,6S3B
3,STANUM
2,2 FERUM
3,3 NATRIUM
3,3 KALIUM
3,ZINK
2,ALUMINIUM
6,SEM 3 6S3B
2,2 KALSIUM
KHAS MENENGAH,PK KALSIUM
3,KALSIUM
3,MAGNESIUM
PPKI,PK KALIUM
2,KALSIUM
5,5 ZINK
3,3 KALSIUM
5,5 ALUMINIUM
5,5 NATRIUM
6,SEM 2 6S2B
PPKI,PK KALSIUM
3,NATRIUM
2,2 KALIUM
6,SEM 2 6S2A
3,3 STANUM
5,5 KALSIUM
5,5 FERUM
4,ZINK
KHAS MENENGAH,PK KALIUM
KHAS MENENGAH,PK NATRIUM
4,KALIUM
4,4 NATRIUM
3,ALUMINIUM
4,4 FERUM
5,5 STANUM
6 SEM 2,6S2A
1,1 KALIUM
PPKI,PK NATRIUM
5,KALIUM
4,FERUM
4,STANUM
KHAS MENENGAH,PK MAGNESIUM
4,ALUMINIUM
5,FERUM
4,4 KALIUM
4,KALSIUM
3,3 ALUMINIUM
